section id,recording id,recording name,wearer id,wearer name,section start time [ns],section end time [ns],start event name,end event name,,,,,,,,eyetracking_parent,speech_parent,eyetracking_child,speech_child
b7608389-f9a8-4ed4-a57f-de3375a39b82,04860538-b0f5-4d8a-b848-7dfd42434a41,2022-09-18_11:47:37,d83be29a-29ad-421b-bcd0-8f11f6b2b627,1254-P,1663516057870000000,1663517037048000000,recording.begin,recording.end,,,,,,,,0,1,0,1
478db80b-5ae6-4eb8-acbc-5d012406908b,0bfab0fa-3719-4e50-8bb3-43f6ef2fb970,2022-10-16_16:02:21,1ee5ac75-c7d4-4dc4-9697-521bd5e31da3,1232-P,1665950541936000000,1665951769409000000,recording.begin,recording.end,,,,,,,,1,1,1,1
e45b2433-ab88-41ce-b520-dd224349d6e0,0f184843-7153-4a0d-9db7-dbc83ef03a03,2023-01-22_10:39:51,248ec99d-6c79-40b6-845c-5a9e389c8afb,1240-C,1674401991541000000,1674403331257000000,recording.begin,recording.end,,,,,,,,1,1,0,1
24839c19-e89c-494b-beb2-82ff4bc940bd,2b5780a4-61e5-43b1-9d69-c9d5c362b539,2022-07-01_11:44:23,2b28d2b3-e1ba-4489-a0e1-4c1c8774f0d3,1239-C,1656690263953000000,1656691411530000000,recording.begin,recording.end,,,,,,,,1,1,0,1
19239c05-c357-46ab-9fbd-a5563be448b0,4019458c-9a31-4392-8614-51b5441d7ccc,2022-08-26_14:54:39,8248031f-cb92-49a9-90a8-efa4705bf653,1249-P,1661540079078000000,1661541150152000000,recording.begin,recording.end,,,,,,,,0,1,0,1
bae5ebda-ed28-4316-8ee4-60c0526de705,417e4031-5944-4e3e-882a-ce862cffe1bd,2022-07-25_10:30:38,1c66e4e5-d28e-41b5-9d67-7d1423031f1e,1245-P,1658759438533000000,1658760358713000000,recording.begin,recording.end,,,,,,,,1,1,0,1
fc24f04a-c025-43be-ac3f-d4ccc55bcb60,495ad86c-d2b7-436e-bd79-517c35eb16a5,2022-10-15_14:16:08,abafe78a-53c3-4a8a-9f37-3b18ab7bd15d,1256-P,1665857768349000000,1665858759121000000,recording.begin,recording.end,,,,,,,,1,1,1,1
2b4c4069-090b-4bc0-9990-355d48feb703,4b67c5dd-2e3c-486a-9843-f7b01eea3f27,2022-07-12_11:10:38,b561b5a1-3743-4a99-850e-8050752f5361,1228-P,1657638638283000000,1657639783611000000,recording.begin,recording.end,,,,,,,,1,1,1,1
9d692e1b-a312-42e4-9a47-8b02e0e34bf1,4b76abbf-52db-4207-af13-a516ae471075,2022-07-16_11:28:52,39c93ed5-490e-4b8e-8b0f-0f03cd3226e6,1236-P,1657985332594000000,1657986105189000000,recording.begin,recording.end,,,,,,,,0,1,1,0
5d127adb-6c6e-445e-91f2-da2e366adb43,53a7e80e-9a25-48f1-b44d-5067fc49502e,2023-02-25_12:40:46,a8e39676-4efe-45f7-939b-62f39b258753,1267-C,1677346846880000000,1677348017820000000,recording.begin,recording.end,,,,,,,,1,1,1,1
bdfb7b76-6a94-4ae2-a153-d243c90477df,55664b05-1233-4979-b990-0e7df81931bb,2022-12-10_11:21:03,6cb457e6-76a0-462f-b383-d42dd8ca96b8,1250-C,1670689263106000000,1670690229554000000,recording.begin,recording.end,,,,,,,,1,1,1,1
634cce24-93ba-4638-a784-2827d8441ce9,5ee1ae6f-6e73-4b07-aba2-5e51e3faf73b,2022-09-16_15:46:49,03452243-f5c7-4c42-b9f1-a855e58b3faf,1248-P,1663357609248000000,1663358715041000000,recording.begin,recording.end,,,,,,,,1,1,1,1
b37f14c3-a586-4438-a285-0d252f7d736c,60e60065-baa5-4fb7-b824-2fbfa93c9238,2022-07-31_14:53:02,4fdb3dbf-4faf-45da-b3ae-a9382ac53e2c,1237-P,1659293582773000000,1659294426864000000,recording.begin,recording.end,,,,,,,,1,1,1,1
d26382b5-5eab-4003-b61a-3e02567a9846,6a5c6cf6-0801-41ff-a630-8b7a54c80a9d,2022-09-10_15:19:04,eb4ca692-9915-49d2-a324-7c4c4bd9e94f,1253-P,1662837544425000000,1662838474723000000,recording.begin,recording.end,,,,,,,,1,1,0,1
c2b4e973-2547-4f32-a31b-add77f4a7b9d,73f37fab-3c51-4536-869a-5f0e791eb202,2023-02-17_10:59:00,064acd49-0c78-4c0f-adfc-f3a8db10d671,1270-C,1676649540858000000,1676650791894000000,recording.begin,recording.end,,,,,,,,1,1,1,0
d83d040c-444a-4b4e-8358-5c3fb7eeb52e,78daec72-37ac-4187-bc29-2052b6b17f5f,2022-07-17_13:36:11,c2f86402-4987-4d6b-97ae-dca8fd6f1c55,1227-P,1658079371905000000,1658080450372000000,recording.begin,recording.end,,,,,,,,1,1,1,1
bad1b110-7ca5-486e-9142-1288d3b7141e,88c77cca-26e0-4858-a3d3-cd2fa3ea5fd6,2022-11-12_15:48:04,2bb02920-afd7-4e7f-b6dc-9ff2f9f9ed43,1258-P,1668286084683000000,1668287052855000000,recording.begin,recording.end,,,,,,,,1,1,0,1
e858775b-bb41-48b4-87c7-82f9499674cb,8ee1231b-8dd1-4d65-b9af-ca6efe376d39,2022-06-25_12:42:34,6c594f39-ff17-4849-b70f-d7659f7cefcb,1213-C,1656175354645000000,1656176325923000000,recording.begin,recording.end,,,,,,,,0,1,0,1
94f4ee39-e973-4949-b874-b4ec43dad5a3,a6178af2-f8cc-4ce5-a1eb-b9caa6b0ebc8,2022-07-28_12:51:12,49aca824-c8b5-4fc8-8dce-754aa02f3939,1247-P,1659027072268000000,1659027852289000000,recording.begin,recording.end,,,,,,,,1,1,0,1
f5907da4-d46b-447e-a589-736a4c8a926f,bfefa42c-cc77-434c-8f9e-57d09595e9e6,2022-12-17_11:14:43,ac1fce90-845a-4bac-a624-667d042b3f40,1252-C,1671293683462000000,1671294768079000000,recording.begin,recording.end,,,,,,,,0,1,0,1
01dfe6c3-5ca3-49a7-b5d1-79e5aa36ee17,c28832f0-2566-4761-be4d-3f6ba3dea448,2023-02-04_11:09:17,68e75932-5646-4cac-a43e-46ace042bbbe,1264-C,1675526957809000000,1675528420722000000,recording.begin,recording.end,,,,,,,,0,1,1,1
a2ba201f-f0bd-4e90-a131-c65ccc3bb288,c3ebd64d-05a5-4d15-9327-bf8a42228355,2022-07-02_11:07:55,bd81aa50-8e18-43fb-9e75-cc5e27d598fa,1235-C,1656774475050000000,1656775442364000000,recording.begin,recording.end,,,,,,,,1,1,0,1
c5735de4-bf05-4506-a0fc-b54890b787d3,c7408ef9-76b4-49ff-abad-bb82dbbe3577,2022-09-17_15:35:00,22a6e86f-50c3-4977-b996-1a8d93a193f0,1251-P,1663443300543000000,1663444225595000000,recording.begin,recording.end,,,,,,,,1,1,1,1
a9394e87-d1fa-4c9e-b32e-dddad24c7b36,c786c946-08b1-4e52-860d-c0b9f0cc4f69,2022-07-24_12:08:10,b5d49f6f-7caa-400b-a8f8-663af049f784,1244-P,1658678890663000000,1658679555015000000,recording.begin,recording.end,,,,,,,,1,1,1,1
ff50a1ed-d7ed-40bf-9743-640030b46625,d09a9c8d-7284-43b2-bbcf-55ce982f5bcf,2022-06-26_11:17:01,dbd87fe6-e4e4-4578-9d8b-c7a90da93f59,1238-C,1656256621840000000,1656257632683000000,recording.begin,recording.end,,,,,,,,0,1,1,1
3320f51c-4d4f-4578-b94e-882d40d50224,d2d4a3b6-3403-49e3-a235-76ac736e0fd9,2023-01-24_16:31:26,55e70a23-12c6-40ae-8a39-5466f83757ec,1266-C,1674595886553000000,1674596966369000000,recording.begin,recording.end,,,,,,,,1,1,1,1
6640cf52-1012-4f9a-93e5-82b5ba95fbe9,dd6eeda0-929e-4be7-b17c-28180928b6a2,2022-04-15_14:38:40,1626c469-7e6e-4903-b8de-ebfce93c825d,1204-C,1650047920319000000,1650049013562000000,recording.begin,recording.end,,,,,,,,1,1,1,0
9bf894c5-eb5b-4018-a396-2eaa947c24f2,de79d3e8-5bb3-42db-acd9-ba391373b514,2022-06-24_12:37:39,62981640-18eb-4b69-b75c-d17520610fcf,1219-C,1656088659833000000,1656089686673000000,recording.begin,recording.end,,,,,,,,1,1,1,1
3ee056e7-eac8-4a74-ac97-12d4be10e425,df417014-32d0-4ecd-885f-92a15b16c946,2022-07-31_14:53:02,9eb9d475-a042-4dae-b9e8-a8b37185d5b1,1237-C,1659293582754000000,1659294426871000000,recording.begin,recording.end,,,,,,,,1,1,1,1
f345f11e-7ba3-4eb7-93b4-dd130384308c,e3f349eb-4429-418a-85c2-e4ef0cb8e3e0,2022-07-18_11:05:46,b07e2783-131b-42d2-aa61-dd5bb2858499,1242-P,1658156746737000000,1658157791603000000,recording.begin,recording.end,,,,,,,,0,1,1,1
626f312b-2d2f-43f4-b040-053db256aa3a,e6b36caf-3647-4eac-a03f-a68fa2cbd8ed,2022-07-20_13:57:06,5d6df0a7-532c-4f56-bd68-e182c1ddaa0b,1246-P,1658339826569000000,1658340863358000000,recording.begin,recording.end,,,,,,,,1,1,0,1
