file,timestamp [ns],recording offset [secs],video offset [secs]
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509163282400487,2.079400487,0.0
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509163316790487,2.113790487,0.03439
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509163350849487,2.147849487,0.068449
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509163389198487,2.186198487,0.106798
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509163422148487,2.219148487,0.139748
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509163452492487,2.249492487,0.170092
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509163485388487,2.282388487,0.202988
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509163520266487,2.317266487,0.237866
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509163547714487,2.344714487,0.265314
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509163583004487,2.380004487,0.300604
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509163618523487,2.415523487,0.336123
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509163648901487,2.445901487,0.366501
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509163681822487,2.478822487,0.399422
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509163716605487,2.513605487,0.434205
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509163748010487,2.545010487,0.46561
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509163781400487,2.578400487,0.499
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509163832174487,2.629174487,0.549774
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509163847981487,2.644981487,0.565581
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509163885043487,2.682043487,0.602643
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164004211487,2.801211487,0.721811
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164020840487,2.817840487,0.73844
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164055632487,2.852632487,0.773232
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164079366487,2.876366487,0.796966
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164118483487,2.915483487,0.836083
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164155726487,2.952726487,0.873326
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164190092487,2.987092487,0.907692
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164222536487,3.019536487,0.940136
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164248639487,3.045639487,0.966239
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164281076487,3.078076487,0.998676
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164317324487,3.114324487,1.034924
data_with_exported_files/tsst_comparison_data/11004/11004_P/PI world v1 ps1.time,1681509164357010487,3.154010487,1.07461
