blink id,start timestamp [ns],end timestamp [ns],duration [ms],start timestamp [s],end timestamp [s]
1,1.68151E+18,1.68151E+18,299,11.23936998,11.53928986
2,1.68151E+18,1.68151E+18,204,11.54726989,11.75134003
3,1.68151E+18,1.68151E+18,211,20.59934003,20.81130982
4,1.68151E+18,1.68151E+18,220,20.81932006,21.03933005
5,1.68151E+18,1.68151E+18,419,21.29935002,21.71930982
6,1.68151E+18,1.68151E+18,272,21.91931981,22.19131981
7,1.68151E+18,1.68151E+18,451,23.19534003,23.64731981
8,1.68151E+18,1.68151E+18,239,24.32736,24.56729984
9,1.68151E+18,1.68151E+18,152,25.11527987,25.26735002
10,1.68151E+18,1.68151E+18,408,25.27530982,25.68337997
11,1.68151E+18,1.68151E+18,339,26.29135002,26.63133005
12,1.68151E+18,1.68151E+18,263,27.53134003,27.79534003
13,1.68151E+18,1.68151E+18,339,29.43936,29.77935002
14,1.68151E+18,1.68151E+18,420,33.55129984,33.97130982
15,1.68151E+18,1.68151E+18,195,34.45534003,34.65130982
16,1.68151E+18,1.68151E+18,440,34.92731981,35.36733005
17,1.68151E+18,1.68151E+18,283,35.78337997,36.06733005
18,1.68151E+18,1.68151E+18,319,38.05130982,38.37129984
19,1.68151E+18,1.68151E+18,183,38.47933005,38.66328986
20,1.68151E+18,1.68151E+18,448,39.89130982,40.33932006
21,1.68151E+18,1.68151E+18,272,41.79931981,42.07134003
22,1.68151E+18,1.68151E+18,360,42.31134003,42.67136998
23,1.68151E+18,1.68151E+18,356,46.85130982,47.20772992
24,1.68151E+18,1.68151E+18,439,47.77936998,48.21930982
25,1.68151E+18,1.68151E+18,335,49.66736998,50.00332006
26,1.68151E+18,1.68151E+18,335,50.76330982,51.09930982
27,1.68151E+18,1.68151E+18,320,56.96731981,57.28736998
28,1.68151E+18,1.68151E+18,572,57.31537997,57.88738995
29,1.68151E+18,1.68151E+18,311,59.20335002,59.51530982
30,1.68151E+18,1.68151E+18,427,59.98331981,60.41132006
31,1.68151E+18,1.68151E+18,332,64.74730982,65.07933005
32,1.68151E+18,1.68151E+18,335,65.50736,65.84332006
33,1.68151E+18,1.68151E+18,451,67.85133005,68.30331981
34,1.68151E+18,1.68151E+18,423,72.02331981,72.44728986
35,1.68151E+18,1.68151E+18,431,75.25140992,75.68335002
36,1.68151E+18,1.68151E+18,331,77.67137997,78.00330982
37,1.68151E+18,1.68151E+18,235,78.77936,79.01534003
38,1.68151E+18,1.68151E+18,423,83.91540992,84.33933005
39,1.68151E+18,1.68151E+18,171,84.65134003,84.82333005
40,1.68151E+18,1.68151E+18,403,84.93531981,85.33932006
41,1.68151E+18,1.68151E+18,399,85.53132006,85.93129984
42,1.68151E+18,1.68151E+18,227,85.93936,86.16733005
43,1.68151E+18,1.68151E+18,248,87.64733005,87.89533005
44,1.68151E+18,1.68151E+18,416,89.49929984,89.91530982
45,1.68151E+18,1.68151E+18,468,94.46329984,94.93129984
46,1.68151E+18,1.68151E+18,260,97.31934003,97.57936998
47,1.68151E+18,1.68151E+18,475,101.7275699,102.2033201
48,1.68151E+18,1.68151E+18,195,103.53134,103.7273198
49,1.68151E+18,1.68151E+18,276,109.06336,109.33939
50,1.68151E+18,1.68151E+18,412,110.54735,110.95936
51,1.68151E+18,1.68151E+18,527,113.23534,113.76333
52,1.68151E+18,1.68151E+18,255,121.4234199,121.67938
53,1.68151E+18,1.68151E+18,296,121.7753098,122.07138
54,1.68151E+18,1.68151E+18,355,125.13934,125.4953098
55,1.68151E+18,1.68151E+18,364,138.3072998,138.67139
