file,timestamp [ns],recording offset [secs],video offset [secs]
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852109306085413,1.383085413,0.0
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852109335396413,1.412396413,0.029311
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852109365769413,1.442769413,0.059684
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852109404792413,1.481792413,0.098707
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852109434135413,1.511135413,0.12805
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852109465522413,1.542522413,0.159437
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852109510495413,1.587495413,0.20441
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852109534196413,1.611196413,0.228111
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852109567103413,1.644103413,0.261018
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852109599802413,1.676802413,0.293717
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852109635541413,1.712541413,0.329456
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852109667208413,1.744208413,0.361123
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852109698543413,1.775543413,0.392458
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852109733869413,1.810869413,0.427784
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852109765530413,1.842530413,0.459445
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852109798764413,1.875764413,0.492679
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852109837551413,1.914551413,0.531466
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852109867257413,1.944257413,0.561172
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852109902694413,1.979694413,0.596609
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852109936140413,2.013140413,0.630055
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852109968320413,2.045320413,0.662235
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852110000848413,2.077848413,0.694763
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852110033176413,2.110176413,0.727091
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852110066590413,2.143590413,0.760505
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852110098420413,2.175420413,0.792335
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852110135637413,2.212637413,0.829552
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852110168574413,2.245574413,0.862489
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852110201495413,2.278495413,0.89541
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852110236807413,2.313807413,0.930722
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852110267792413,2.344792413,0.961707
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852110301701413,2.378701413,0.995616
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852110336869413,2.413869413,1.030784
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852110371733413,2.448733413,1.065648
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852110402814413,2.479814413,1.096729
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852110439279413,2.516279413,1.133194
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852110472256413,2.549256413,1.166171
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852110500196413,2.577196413,1.194111
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852110539463413,2.616463413,1.233378
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852110569201413,2.646201413,1.263116
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852110600927413,2.677927413,1.294842
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852110636488413,2.713488413,1.330403
data_with_exported_files/tsst_comparison_data/11010/11010_C/PI world v1 ps1.time,1681852110667519413,2.744519413,1.361434
