blink id,start timestamp [ns],end timestamp [ns],duration [ms],start timestamp [s],end timestamp [s]
1,1.68185E+18,1.68185E+18,332,3.905629952,4.23769984
2,1.68185E+18,1.68185E+18,267,6.925609984,7.193590016
3,1.68185E+18,1.68185E+18,328,8.897580032,9.225639936
4,1.68185E+18,1.68185E+18,271,12.32962995,12.60160998
5,1.68185E+18,1.68185E+18,252,17.19761997,17.44963994
6,1.68185E+18,1.68185E+18,196,18.62557005,18.82178995
7,1.68185E+18,1.68185E+18,140,18.8256,18.96562995
8,1.68185E+18,1.68185E+18,295,29.07761997,29.37361997
9,1.68185E+18,1.68185E+18,271,32.44159002,32.71357005
10,1.68185E+18,1.68185E+18,315,44.13357005,44.44955981
11,1.68185E+18,1.68185E+18,251,46.06957005,46.32157005
12,1.68185E+18,1.68185E+18,267,50.95762995,51.22558003
13,1.68185E+18,1.68185E+18,120,78.33759002,78.45772006
14,1.68185E+18,1.68185E+18,212,80.41359002,80.62566989
15,1.68185E+18,1.68185E+18,168,95.52558003,95.69361997
16,1.68185E+18,1.68185E+18,247,95.74162995,95.9896
17,1.68185E+18,1.68185E+18,251,110.8896998,111.14158
18,1.68185E+18,1.68185E+18,100,120.69758,120.79758
19,1.68185E+18,1.68185E+18,228,120.8536,121.08194
20,1.68185E+18,1.68185E+18,224,121.08957,121.31357
21,1.68185E+18,1.68185E+18,219,121.3336399,121.5536
22,1.68185E+18,1.68185E+18,224,121.56959,121.7936
23,1.68185E+18,1.68185E+18,300,123.66558,123.96559
24,1.68185E+18,1.68185E+18,279,136.64562,136.92559
25,1.68185E+18,1.68185E+18,259,143.7336499,143.9936499
26,1.68185E+18,1.68185E+18,271,153.72959,154.00158
27,1.68185E+18,1.68185E+18,352,156.5095601,156.86159
28,1.68185E+18,1.68185E+18,332,160.94559,161.27761
29,1.68185E+18,1.68185E+18,416,165.00158,165.4176
30,1.68185E+18,1.68185E+18,168,166.72162,166.88963
31,1.68185E+18,1.68185E+18,339,167.23359,167.57357
32,1.68185E+18,1.68185E+18,355,176.70978,177.0656
33,1.68185E+18,1.68185E+18,448,179.3456499,179.7938299
34,1.68185E+18,1.68185E+18,300,180.00958,180.30958
35,1.68185E+18,1.68185E+18,340,180.8176,181.1576699
36,1.68185E+18,1.68185E+18,119,181.22161,181.34159
37,1.68185E+18,1.68185E+18,128,181.34559,181.4738499
38,1.68185E+18,1.68185E+18,292,182.72558,183.0176
39,1.68185E+18,1.68185E+18,183,201.6456,201.82959
40,1.68185E+18,1.68185E+18,196,208.6415598,208.83757
41,1.68185E+18,1.68185E+18,347,213.2376,213.5855598
42,1.68185E+18,1.68185E+18,200,217.79376,217.99438
43,1.68185E+18,1.68185E+18,208,226.94559,227.1536
44,1.68185E+18,1.68185E+18,188,239.57757,239.7656
45,1.68185E+18,1.68185E+18,252,241.90158,242.1538199
46,1.68185E+18,1.68185E+18,244,244.72958,244.97359
47,1.68185E+18,1.68185E+18,423,256.9696,257.39359
48,1.68185E+18,1.68185E+18,127,260.3736899,260.50158
49,1.68185E+18,1.68185E+18,111,270.5176399,270.62958
50,1.68185E+18,1.68185E+18,216,315.82157,316.0376399
51,1.68185E+18,1.68185E+18,251,324.37359,324.62557
52,1.68185E+18,1.68185E+18,155,334.86162,335.01759
53,1.68185E+18,1.68185E+18,199,345.1576599,345.35757
54,1.68185E+18,1.68185E+18,152,357.29357,357.44557
55,1.68185E+18,1.68185E+18,135,376.04559,376.18158
56,1.68185E+18,1.68185E+18,156,467.72957,467.8856
57,1.68185E+18,1.68185E+18,192,473.9776,474.16961
58,1.68185E+18,1.68185E+18,376,483.80157,484.17759
59,1.68185E+18,1.68185E+18,200,493.94157,494.14159
60,1.68185E+18,1.68185E+18,156,501.76557,501.9216
61,1.68185E+18,1.68185E+18,240,503.7495601,503.98959
62,1.68185E+18,1.68185E+18,128,520.06157,520.1896998
63,1.68185E+18,1.68185E+18,180,520.79757,520.9776
64,1.68185E+18,1.68185E+18,447,525.15757,525.60557
65,1.68185E+18,1.68185E+18,240,534.11759,534.3576
66,1.68185E+18,1.68185E+18,171,534.75758,534.92958
67,1.68185E+18,1.68185E+18,195,534.93373,535.12958
68,1.68185E+18,1.68185E+18,252,536.3495601,536.60157
69,1.68185E+18,1.68185E+18,300,538.09758,538.39759
70,1.68185E+18,1.68185E+18,272,538.40558,538.67759
71,1.68185E+18,1.68185E+18,259,539.84162,540.10159
72,1.68185E+18,1.68185E+18,288,540.14957,540.43758
73,1.68185E+18,1.68185E+18,623,540.44163,541.06558
74,1.68185E+18,1.68185E+18,576,543.86959,544.44559
75,1.68185E+18,1.68185E+18,240,564.87758,565.1176
76,1.68185E+18,1.68185E+18,254,576.7346798,576.98959
77,1.68185E+18,1.68185E+18,213,605.9416,606.1555899
78,1.68185E+18,1.68185E+18,283,656.36959,656.65357
79,1.68185E+18,1.68185E+18,220,660.1296,660.34962
80,1.68185E+18,1.68185E+18,204,662.48158,662.6856399
81,1.68185E+18,1.68185E+18,208,662.68961,662.89762
82,1.68185E+18,1.68185E+18,203,663.0016,663.20559
83,1.68185E+18,1.68185E+18,219,663.24161,663.46158
