section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,1,1674334666024170039,1674334666112185039,88,88.81736923941705,6.718767180202023,2143.788478099158,3813.777895717452
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,2,1674334666320118039,1674334666388107039,67,258.5859131532192,19.487300703187334,3812.728980244388,6631.732391771695
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,3,1674334666480104039,1674334666500140039,20,22.583379904313766,1.7065234234741382,1129.1986690876986,1301.8351004840963
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,4,1674334666600085039,1674334666660066039,59,49.92143542574834,3.763523989600571,1495.9499732535535,2058.576926092229
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,5,1674334667040124039,1674334667876156039,836,366.05086284346817,27.576048322785333,2319.0744410641364,10459.198196059757
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,6,1674334667956134039,1674334667984129039,27,46.41692001447429,3.4904510518748335,1561.0988832389683,1804.273007832773
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,7,1674334668092124039,1674334668120115039,27,40.808557429938716,3.0680379677794427,1278.3064992545726,1465.2214120126562
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,8,1674334668240166039,1674334668276185039,36,58.40239506812112,4.396611847166166,1804.7927204603052,2205.669939419489
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,9,1674334669464243039,1674334669524143039,59,139.82953916479843,10.537739883149486,2676.5132569327798,3964.900779596615
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,10,1674334669744169039,1674334669872172039,128,95.99977148836612,7.218613014555905,996.7731380922052,1535.3434012734676
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,11,1674334670024181039,1674334670192122039,167,191.67569661331808,14.411367223233059,2481.184623325628,5971.173227447998
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,12,1674334670464171039,1674334670512140039,47,134.9320987098907,10.17427257083649,2422.293054459699,3532.350273843686
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,13,1674334670640048039,1674334670680111039,40,24.997813162466752,1.8752110654239207,1295.1052874566044,1503.579449190352
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,14,1674334670744189039,1674334671028141039,283,237.4560808159228,17.910306294406187,2295.6788465671093,10375.935325888284
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,15,1674334671488065039,1674334671520092039,32,46.29634660247801,3.500794609343303,1500.2415582941458,1802.851452836497
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,16,1674334671856094039,1674334672120156039,264,325.56149052256654,24.63828194956105,2328.8396709523818,6140.680053342168
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,17,1674334672688019039,1674334672712119039,24,30.708901806500556,2.2832831558685656,1249.7663183019495,1472.434194834234
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,18,1674334673016111039,1674334673036114039,20,21.217515706646065,1.5731661881174597,1076.2650323852358,1155.494377363754
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,19,1674334673516141039,1674334673556167039,40,67.89483558058622,5.157760774300317,1752.9559437268213,2416.461178745465
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,20,1674334673768070039,1674334673792143039,24,31.697072274346038,2.3806952417237457,1265.4363996849784,1374.946267208145
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,21,1674334674600138039,1674334674628051039,27,26.752946891060162,2.012692696015004,1080.3645716152332,1241.0428186352087
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,22,1674334674968077039,1674334675000082039,32,45.21420525995222,3.324991682159866,1536.856018536977,1721.5534242722408
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,23,1674334675140155039,1674334675160117039,19,27.01166389172291,2.005432643060211,1297.5820221521863,1418.9223081438042
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,24,1674334675268068039,1674334675308087039,40,81.85953816029279,6.036801141210609,2084.504221143471,3712.9048322293697
0457c163-582c-4dd4-b273-81d730297ca0,ed0c6a00-ea95-4b03-b568-a671c346de09,25,1674334675492120039,1674334675856125039,364,16.757057253782705,1.2464754941346476,1187.294125632124,2473.4848196149264
