section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,1,1720971649314664164,1720971649498676164,184,28.017041849587184,2.115750955439123,1352.6151582298462,3945.8024517143117
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,2,1720971649670639164,1720971649758716164,88,33.798443158047256,2.551688854149274,1364.4278336035334,3048.683152348641
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,3,1720971649934720164,1720971650194715164,260,22.549168408314962,1.698984857387209,1657.4728918046637,3475.323381615752
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,4,1720971650262799164,1720971650282705164,20,33.01644485994128,2.499372981353037,1882.8871879295334,2964.8491894395224
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,5,1720971650390701164,1720971650430655164,40,66.4807623348756,5.016774377664964,1912.2806192819048,2706.070605512821
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,6,1720971650502666164,1720971650762649164,260,22.55541077941327,1.699600764771273,1270.3781639867511,3261.0444900622224
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,7,1720971650838670164,1720971650970931164,132,70.63436933642186,5.337235068118226,1167.7157041004384,2570.5325825382547
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,8,1720971651038661164,1720971651058633164,20,21.313988644045075,1.6108374329228927,1418.4406639567644,1642.8607563825742
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,9,1720971651210962164,1720971651378679164,168,27.620414331967634,2.086699741885839,1632.7056119782994,3285.48747515514
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,10,1720971651478650164,1720971651894705164,416,39.510207589189015,2.9854866663267736,1616.774658935512,4394.747678409215
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,11,1720971651966705164,1720971652674709164,708,99.71049481307365,7.5197156254116395,1593.1954879262225,4146.804101017748
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,12,1720971652794709164,1720971652838736164,44,41.410075658666855,3.1227881751516127,1420.505783335137,2032.9397102444655
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,13,1720971653018687164,1720971653130698164,112,59.50424105770096,4.479745367870354,1153.6863615671568,2304.9775900143377
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,14,1720971653334690164,1720971653354706164,20,21.90283266280373,1.6524626781555494,1391.7314241412532,1578.8400042374192
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,15,1720971653454728164,1720971653638703164,184,41.8399718297744,3.1493816267689834,1397.3589874161037,2405.4417301433714
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,16,1720971653706814164,1720971653794695164,88,25.69416468166327,1.9380399338898293,1066.5164909413406,1829.2139780131508
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,17,1720971653874703164,1720971653934688164,60,25.02427211094288,1.885094774709345,1168.3200953398707,1751.5690816739082
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,18,1720971654110694164,1720971654282666164,172,69.20422630408021,5.2188245529079484,1351.5750582100134,3045.7958221965528
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,19,1720971654462778164,1720971654554684164,92,13.275340058545154,1.0095067416320764,1518.179979125362,2911.9677903348947
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,20,1720971654702850164,1720971654798694164,96,16.33811449042156,1.2293282832165047,1215.2181859455065,2167.1158552023753
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,21,1720971654882710164,1720971654910643164,28,42.54231151108172,3.1969824249527443,1500.883473075757,2232.010846576055
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,22,1720971654991101164,1720971655170671164,180,11.890625906935231,0.8965141312939328,1028.65974160508,2165.701286926992
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,23,1720971655290646164,1720971655318647164,28,31.845235556714073,2.4024694323127287,1253.4471886260314,1514.837394374512
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,24,1720971655446733164,1720971655478679164,32,22.109725534149984,1.6620253257308644,1243.4109701695559,1710.2355006095154
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,25,1720971655598675164,1720971655798693164,200,17.047906263153063,1.281039126708158,1169.4508367019207,2563.6605851863724
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,26,1720971655898667164,1720971655922720164,24,22.82821413931429,1.722971713161506,1222.697008067288,1385.9189257366024
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,27,1720971656082676164,1720971656438801164,356,31.66675352527385,2.3841250224041763,1342.7860344106584,2380.9846404985983
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,28,1720971656642737164,1720971656854649164,212,34.969186952735065,2.621749978352016,1246.27925617619,2532.4899716165955
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,29,1720971657006832164,1720971657030657164,24,31.9132971067056,2.408103282109777,1487.8277442766582,1932.4115428482758
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,30,1720971657114668164,1720971657178658164,64,9.999033393613999,0.7487843521870806,1248.472237021417,1681.4537381536472
