recording id,label id,label name
8d19c6d6-8601-4294-8f86-134a550cca6a,52777816-c06d-427d-83ba-58fa50018c4d,tsst
8d19c6d6-8601-4294-8f86-134a550cca6a,cbf2357b-9fa0-443d-bf8a-accb09dcd333,parent
8d19c6d6-8601-4294-8f86-134a550cca6a,acae88f0-1198-4f82-a881-890403d88dcb,T1
