section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
48b562d7-bc0e-4f51-a7e6-08cd1942b04e,7872a1c5-a08d-4014-b6f3-027bc65ce6f7,1716222961568381260,-23.04878,-10.365854,9.45122,-0.008728,-0.992798,-0.001831,6.952775376367157,89.45832370767812,,,,,
48b562d7-bc0e-4f51-a7e6-08cd1942b04e,7872a1c5-a08d-4014-b6f3-027bc65ce6f7,1716222961573321260,-22.134148,-10.426829,10.609756,-0.00592,-0.98053,-0.017273,6.904596804788724,88.92114753835472,,,,,
48b562d7-bc0e-4f51-a7e6-08cd1942b04e,7872a1c5-a08d-4014-b6f3-027bc65ce6f7,1716222961578261260,-22.012196,-10.060976,11.829268,-0.00708,-0.980896,-0.024292,6.859372321025063,88.38459378255709,,,,,
48b562d7-bc0e-4f51-a7e6-08cd1942b04e,7872a1c5-a08d-4014-b6f3-027bc65ce6f7,1716222961583201260,-22.195122,-9.45122,11.829268,-0.006531,-0.996338,-0.02948,6.817439920951756,87.84719634892065,,,,,
48b562d7-bc0e-4f51-a7e6-08cd1942b04e,7872a1c5-a08d-4014-b6f3-027bc65ce6f7,1716222961588141260,-21.524391,-8.902439,11.036586,-0.010925,-1.022217,-0.026978,6.780397763898037,87.31324065982096,,,,,
48b562d7-bc0e-4f51-a7e6-08cd1942b04e,7872a1c5-a08d-4014-b6f3-027bc65ce6f7,1716222961593081260,-20.609756,-8.780488,10.426829,-0.007141,-1.041077,-0.032288,6.74270256062087,86.78393642780935,,,,,
48b562d7-bc0e-4f51-a7e6-08cd1942b04e,7872a1c5-a08d-4014-b6f3-027bc65ce6f7,1716222961598021260,-21.524391,-8.170732,9.512196,-0.005859,-1.086731,-0.025513,6.707651246445977,86.25030163282469,,,,,
48b562d7-bc0e-4f51-a7e6-08cd1942b04e,7872a1c5-a08d-4014-b6f3-027bc65ce6f7,1716222961602961260,-23.231709,-7.439024,7.012195,-0.001831,-1.049133,-0.043396,6.674237526847236,85.70850067371293,,,,,
48b562d7-bc0e-4f51-a7e6-08cd1942b04e,7872a1c5-a08d-4014-b6f3-027bc65ce6f7,1716222961607901260,-22.134148,-7.378049,5.54878,-0.017639,-1.022827,-0.048401,6.647522276756149,85.17247130692914,,,,,
48b562d7-bc0e-4f51-a7e6-08cd1942b04e,7872a1c5-a08d-4014-b6f3-027bc65ce6f7,1716222961612841260,-20.670732,-6.890244,4.390244,-0.009705,-1.012756,-0.044312,6.619756075334607,84.64394351428467,,,,,
48b562d7-bc0e-4f51-a7e6-08cd1942b04e,7872a1c5-a08d-4014-b6f3-027bc65ce6f7,1716222961617781260,-20.182928,-6.402439,3.170732,0.001404,-1.001587,-0.036804,6.589399872075177,84.11815464291891,,,,,
48b562d7-bc0e-4f51-a7e6-08cd1942b04e,7872a1c5-a08d-4014-b6f3-027bc65ce6f7,1716222961622721260,-19.695122,-5.914634,2.804878,0.000122,-0.999146,-0.043213,6.561985855768398,83.59511916155839,,,,,
48b562d7-bc0e-4f51-a7e6-08cd1942b04e,7872a1c5-a08d-4014-b6f3-027bc65ce6f7,1716222961627661260,-19.329269,-5.426829,2.560976,0.001587,-1.000366,-0.052002,6.536371745389687,83.07425575866773,,,,,
48b562d7-bc0e-4f51-a7e6-08cd1942b04e,7872a1c5-a08d-4014-b6f3-027bc65ce6f7,1716222961632601260,-18.719513,-4.878049,2.012195,0.009644,-1.000183,-0.062378,6.509838070699601,82.55682318714037,,,,,
