section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681995324201858,-0.792683,-0.121951,-0.365854,0.238464,-0.947449,0.079163,6.894971460283784,89.58120990002209,,,,,
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681995329141858,-0.426829,0.060976,-0.487805,0.233032,-0.94812,0.077087,6.793148958757882,89.16367790059041,,,,,
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681995334081858,-0.0,0.426829,-0.97561,0.240234,-0.949341,0.089722,6.6902488098245385,88.74901999596625,,,,,
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681995339021858,0.182927,0.243902,-1.097561,0.251587,-0.952148,0.100403,6.582077519182377,88.33646299819384,,,,,
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681995343961858,-0.060976,-0.243902,-1.097561,0.245667,-0.936829,0.103027,6.472278283243156,87.92258484843865,,,,,
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681995348901858,-0.243902,-0.121951,-0.914634,0.248962,-0.932922,0.100464,6.361339360040745,87.50837511546723,,,,,
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681995353841858,-0.609756,-0.243902,-0.548781,0.268494,-0.937378,0.096008,6.242394007876584,87.09453821909995,,,,,
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681995358781858,-1.158537,-0.609756,-0.182927,0.25415,-0.925354,0.087524,6.126329400258555,86.67683047954,,,,,
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681995363721858,-1.280488,-0.060976,0.121951,0.236389,-0.921631,0.076721,6.020204068837302,86.25677831003372,,,,,
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681995368661858,-0.853659,0.670732,0.0,0.245605,-0.940796,0.074585,5.91596217252831,85.83947623944829,,,,,
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681995373601858,-0.609756,0.609756,-0.182927,0.254211,-0.958801,0.082947,5.809870165659163,85.42399647320929,,,,,
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681995378541858,-0.243902,0.060976,-0.670732,0.23468,-0.953674,0.09375,5.708458545916756,85.00866905833806,,,,,
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681995383481858,0.304878,0.243902,-1.463415,0.236755,-0.955872,0.0979,5.607063014546213,84.59652078856635,,,,,
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660681995388421858,0.548781,0.304878,-1.768293,0.252625,-0.953369,0.087463,5.499112540226577,84.18758582978558,,,,,
