"#file:///C:/Users/htalia/Box/P-CAT Research/blinks/11002_C/PI left v1 ps1.mp4 -- offset: 0, duration: 00:23:59.968 / 1439.968 / 1439968, ms per sample: 5.0083",,,,,,,,,,,,
Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,eye_blinks,timestamps,pupil blinks,differences
08:46.6,526.57,526570,08:46.6,526.629,526629,00:00.1,0.059,59,1,,,
08:46.6,526.629,526629,08:46.8,526.77,526770,00:00.1,0.141,141,1,,146,
08:46.8,526.77,526770,08:47.0,527.013,527013,00:00.2,0.243,243,,,146,
08:57.5,537.453,537453,08:57.7,537.705,537705,00:00.3,0.252,252,,,147,p
08:59.7,539.66,539660,09:00.0,540.01,540010,00:00.4,0.35,350,1,,,m
09:04.4,544.361,544361,09:04.7,544.677,544677,00:00.3,0.316,316,,,148,p
09:13.9,553.921,553921,09:14.1,554.129,554129,00:00.2,0.208,208,,,149,p
09:19.1,559.13,559130,09:19.3,559.305,559305,00:00.2,0.175,175,1,,,
09:19.3,559.305,559305,09:19.4,559.426,559426,00:00.1,0.121,121,1,,150,
09:19.4,559.426,559426,09:19.6,559.581,559581,00:00.2,0.155,155,,,150,
09:26.9,566.85,566850,09:27.3,567.29,567290,00:00.4,0.44,440,1,,,m
09:33.5,573.482,573482,09:33.6,573.581,573581,00:00.1,0.099,99,1,,,
09:33.6,573.581,573581,09:33.9,573.852,573852,00:00.3,0.271,271,1,,151,
09:33.9,573.852,573852,09:34.0,573.989,573989,00:00.1,0.137,137,,,151,
09:35.4,575.39,575390,09:35.4,575.433,575433,00:00.0,0.043,43,1,,,
09:35.4,575.433,575433,09:35.6,575.63,575630,00:00.2,0.197,197,1,,152,
09:35.6,575.63,575630,09:35.8,575.805,575805,00:00.2,0.175,175,,,152,
09:40.7,580.75,580750,09:40.8,580.801,580801,00:00.1,0.051,51,1,,,
09:40.8,580.801,580801,09:41.0,580.99,580990,00:00.2,0.189,189,1,,153,
09:41.0,580.99,580990,09:41.2,581.245,581245,00:00.3,0.255,255,,,153,
09:46.8,586.781,586781,09:47.1,587.069,587069,00:00.3,0.288,288,,,154,p
09:48.0,587.96,587960,09:48.0,587.985,587985,00:00.0,0.025,25,1,,,
09:48.0,587.985,587985,09:48.2,588.16,588160,00:00.2,0.175,175,1,,155,
09:48.2,588.16,588160,09:48.5,588.461,588461,00:00.3,0.301,301,,,155,
09:50.8,590.797,590797,09:51.2,591.213,591213,00:00.4,0.416,416,,,156,p
09:52.5,592.45,592450,09:52.5,592.541,592541,00:00.1,0.091,91,1,,,
09:52.5,592.541,592541,09:52.7,592.71,592710,00:00.2,0.169,169,1,,157,
09:52.7,592.71,592710,09:53.0,592.969,592969,00:00.3,0.259,259,,,157,
09:55.1,595.1,595100,09:55.1,595.133,595133,00:00.0,0.033,33,1,,,
09:55.1,595.133,595133,09:55.3,595.32,595320,00:00.2,0.187,187,1,,158,
09:55.3,595.32,595320,09:55.6,595.605,595605,00:00.3,0.285,285,,,158,
09:56.1,596.053,596053,09:56.6,596.561,596561,00:00.5,0.508,508,,,159,p
09:59.6,599.611,599611,09:59.7,599.689,599689,00:00.1,0.078,78,1,,,
09:59.7,599.689,599689,09:59.8,599.796,599796,00:00.1,0.107,107,1,,160,
09:59.8,599.796,599796,10:00.1,600.117,600117,00:00.3,0.321,321,,,160,
10:01.3,601.345,601345,10:01.6,601.625,601625,00:00.3,0.28,280,,,161,p
10:17.7,617.72,617720,10:17.7,617.74,617740,00:00.0,0.02,20,,pspeech.end,,
