"#file:///C:/Users/htalia/Box/P-CAT Research/blinks/11002_C/PI left v1 ps1.mp4 -- offset: 0, duration: 00:23:59.968 / 1439.968 / 1439968, ms per sample: 5.0083",,,,,,,,,,,
Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,eye_blinks,not_visible,timestamps
06:19.7,379.7,379700,06:19.7,379.71,379710,00:00.0,0.01,10,,,pprep.start
06:24.4,384.37,384370,06:24.6,384.64,384640,00:00.3,0.27,270,1,,
06:27.5,387.53,387530,06:27.6,387.63,387630,00:00.1,0.1,100,1,,
06:31.6,391.64,391640,06:32.0,392.01,392010,00:00.4,0.37,370,1,,
06:37.5,397.52,397520,06:37.7,397.72,397720,00:00.2,0.2,200,1,,
06:42.6,402.62,402620,06:43.0,403,403000,00:00.4,0.38,380,1,,
06:45.1,405.11,405110,06:45.3,405.27,405270,00:00.2,0.16,160,1,,
06:46.3,406.25,406250,06:46.5,406.53,406530,00:00.3,0.28,280,1,,
06:49.0,408.99,408990,06:49.3,409.27,409270,00:00.3,0.28,280,1,,
06:56.9,416.92,416920,06:57.1,417.07,417070,00:00.2,0.15,150,1,,
06:57.1,417.1,417100,06:57.3,417.25,417250,00:00.2,0.15,150,1,,
06:59.6,419.61,419610,06:59.9,419.86,419860,00:00.3,0.25,250,1,,
07:13.4,433.35,433350,07:13.8,433.82,433820,00:00.5,0.47,470,1,,
07:14.6,434.57,434570,07:14.8,434.76,434760,00:00.2,0.19,190,1,,
07:16.5,436.47,436470,07:16.6,436.59,436590,00:00.1,0.12,120,1,,
07:34.2,454.21,454210,07:34.9,454.91,454910,00:00.7,0.7,700,1,,
07:35.8,455.78,455780,07:36.2,456.21,456210,00:00.4,0.43,430,1,,
07:44.1,464.15,464150,07:44.3,464.29,464290,00:00.1,0.14,140,1,,
07:48.1,468.11,468110,07:48.6,468.62,468620,00:00.5,0.51,510,1,,
07:53.2,473.15,473150,07:53.4,473.39,473390,00:00.2,0.24,240,1,,
07:58.5,478.49,478490,07:58.8,478.84,478840,00:00.4,0.35,350,1,,
08:16.1,496.1,496100,08:16.1,496.11,496110,00:00.0,0.01,10,,,pprep.end
08:21.0,501,501000,08:21.0,501.01,501010,00:00.0,0.01,10,,,pspeech.start
08:34.4,514.36,514360,08:34.6,514.57,514570,00:00.2,0.21,210,1,,
08:36.3,516.33,516330,08:36.7,516.72,516720,00:00.4,0.39,390,1,,
08:39.8,519.77,519770,08:40.0,520,520000,00:00.2,0.23,230,1,,
08:46.6,526.57,526570,08:46.8,526.77,526770,00:00.2,0.2,200,1,,
08:59.7,539.66,539660,09:00.0,540.01,540010,00:00.4,0.35,350,1,,
09:26.9,566.85,566850,09:27.3,567.29,567290,00:00.4,0.44,440,1,,
09:35.4,575.39,575390,09:35.6,575.63,575630,00:00.2,0.24,240,1,,
09:40.7,580.75,580750,09:41.0,580.99,580990,00:00.2,0.24,240,1,,
09:48.0,587.96,587960,09:48.2,588.16,588160,00:00.2,0.2,200,1,,
09:52.5,592.45,592450,09:52.7,592.71,592710,00:00.3,0.26,260,1,,
09:55.1,595.1,595100,09:55.3,595.32,595320,00:00.2,0.22,220,1,,
10:17.7,617.72,617720,10:17.7,617.74,617740,00:00.0,0.02,20,,,pspeech.end
17:38.9,1058.9,1058900,17:38.9,1058.91,1058910,00:00.0,0.01,10,,,cprep.start
19:06.2,1146.16,1146160,19:06.8,1146.77,1146770,00:00.6,0.61,610,1,,
19:09.4,1149.4,1149400,19:09.6,1149.57,1149570,00:00.2,0.17,170,1,,
19:10.3,1150.27,1150270,19:10.5,1150.46,1150460,00:00.2,0.19,190,1,,
19:10.7,1150.7,1150700,19:11.2,1151.18,1151180,00:00.5,0.48,480,1,,
19:13.2,1153.2,1153200,19:13.4,1153.39,1153390,00:00.2,0.19,190,1,,
19:16.1,1156.07,1156070,19:16.3,1156.29,1156290,00:00.2,0.22,220,1,,
19:17.1,1157.14,1157140,19:17.3,1157.32,1157320,00:00.2,0.18,180,1,,
19:18.2,1158.15,1158150,19:18.7,1158.71,1158710,00:00.6,0.56,560,1,,
19:21.3,1161.27,1161270,19:21.7,1161.7,1161700,00:00.4,0.43,430,1,,
19:35.2,1175.24,1175240,19:35.3,1175.25,1175250,00:00.0,0.01,10,,,cprep.end
19:39.8,1179.78,1179780,19:39.8,1179.79,1179790,00:00.0,0.01,10,,,cspeech.start
19:56.4,1196.37,1196370,19:56.5,1196.52,1196520,00:00.2,0.15,150,1,,
20:00.0,1200.04,1200040,20:00.3,1200.27,1200270,00:00.2,0.23,230,1,,
20:28.8,1228.8,1228800,20:29.0,1229.01,1229010,00:00.2,0.21,210,1,,
21:35.5,1295.53,1295530,21:35.7,1295.68,1295680,00:00.2,0.15,150,1,,
21:36.6,1296.6,1296600,21:36.6,1296.61,1296610,00:00.0,0.01,10,,,cspeech.end
