section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
8c32926f-4739-4efa-acaf-0163ffcfc87f,aeb92f58-980f-4f9a-89fc-990904e0215b,1652224768156373104,639.507,1010.011,1.0,1,,9.099283739784788,-34.61108701264291
8c32926f-4739-4efa-acaf-0163ffcfc87f,aeb92f58-980f-4f9a-89fc-990904e0215b,1652224768160401104,639.236,1007.898,1.0,1,,9.063497728432141,-34.451100964498075
8c32926f-4739-4efa-acaf-0163ffcfc87f,aeb92f58-980f-4f9a-89fc-990904e0215b,1652224768164380104,642.09,1007.68,1.0,1,,9.30785068500282,-34.42765866184897
8c32926f-4739-4efa-acaf-0163ffcfc87f,aeb92f58-980f-4f9a-89fc-990904e0215b,1652224768172419104,642.076,1010.143,1.0,1,,9.321505711072682,-34.614887701303985
8c32926f-4739-4efa-acaf-0163ffcfc87f,aeb92f58-980f-4f9a-89fc-990904e0215b,1652224768176386104,641.038,1013.845,1.0,1,,9.254385132336514,-34.89884179157104
8c32926f-4739-4efa-acaf-0163ffcfc87f,aeb92f58-980f-4f9a-89fc-990904e0215b,1652224768180406104,647.538,1016.405,1.0,1,,9.832662073077776,-35.07701516248805
8c32926f-4739-4efa-acaf-0163ffcfc87f,aeb92f58-980f-4f9a-89fc-990904e0215b,1652224768184387104,661.602,1023.554,1.0,1,,11.10289003101365,-35.5812046594149
8c32926f-4739-4efa-acaf-0163ffcfc87f,aeb92f58-980f-4f9a-89fc-990904e0215b,1652224768192392104,659.473,1029.707,1.0,1,,10.964252505738052,-36.05544408093785
8c32926f-4739-4efa-acaf-0163ffcfc87f,aeb92f58-980f-4f9a-89fc-990904e0215b,1652224768196418104,654.063,1030.885,1.0,1,,10.500472337456983,-36.16087558019266
8c32926f-4739-4efa-acaf-0163ffcfc87f,aeb92f58-980f-4f9a-89fc-990904e0215b,1652224768200423104,645.989,1031.64,1.0,1,,9.799836188054432,-36.24076651842103
8c32926f-4739-4efa-acaf-0163ffcfc87f,aeb92f58-980f-4f9a-89fc-990904e0215b,1652224768204370104,632.067,1034.845,1.0,1,,8.601156486887762,-36.520485102118236
8c32926f-4739-4efa-acaf-0163ffcfc87f,aeb92f58-980f-4f9a-89fc-990904e0215b,1652224768212386104,630.711,1032.479,1.0,1,,8.468168467739218,-36.34312389606106
8c32926f-4739-4efa-acaf-0163ffcfc87f,aeb92f58-980f-4f9a-89fc-990904e0215b,1652224768216386104,626.923,1031.6,1.0,1,,8.131469036200588,-36.28472765281083
8c32926f-4739-4efa-acaf-0163ffcfc87f,aeb92f58-980f-4f9a-89fc-990904e0215b,1652224768220415104,626.874,1030.522,1.0,1,,8.121077046527521,-36.202545559089515
