blink_id,start_timestamp_s,end_timestamp_s,duration_ms.x,blink_type.x
191,438.690256128,438.878516224,188,pprep
205,468.626258432,468.838267392,212,pspeech
169,353.638390272,353.826260224,187,pprep
206,471.598307328,471.8822592,283,pspeech
306,800.638247936,800.982262272,344,cspeech
239,594.102270208,594.342334976,240,pspeech
323,868.030264064,868.234276352,204,cspeech
295,745.146422272,745.426267136,279,cprep
178,387.082237184,387.346272,264,pprep
357,933.562320128,933.946258432,383,cspeech
347,919.882399232,920.066357248,183,cspeech
345,906.966269184,907.362310144,396,cspeech
170,356.802357248,356.938593024,136,pprep
186,411.086379264,411.35023616,263,pprep
310,818.27024,818.686242304,416,cspeech
333,890.150416128,890.262228224,111,cspeech
283,710.714417152,711.230257152,515,cprep
228,546.218294272,546.470262272,251,pspeech
340,894.190260224,894.670887936,480,cspeech
334,890.326238208,890.578281984,252,cspeech
224,541.098381312,541.30633216,207,pspeech
332,889.37825408,889.698324224,320,cspeech
280,705.002294272,705.358331392,356,cprep
361,937.646238208,938.106328064,460,cspeech
344,905.91030016,906.28626816,375,cspeech
325,878.434255104,878.754296064,320,cspeech
339,893.934238208,894.190260224,256,cspeech
335,890.590340096,890.838278144,247,cspeech
331,889.13424512,889.28231296,148,cspeech
358,934.934349312,935.266271232,331,cspeech
225,541.478296064,541.69838208,220,pspeech
199,455.30228608,455.530377984,228,pprep
316,834.57824,834.982432,404,cspeech
201,461.414390272,461.77434112,359,pprep
360,937.350369024,937.646238208,295,cspeech
292,737.526297088,737.878322176,352,cprep
