section id,recording id,recording name,wearer id,wearer name,section start time [ns],section end time [ns],start event name,end event name
23ab533b-1846-4695-9c04-93b8b885edf7,02997c17-f017-416c-a631-ea2c6564c30a,12013_P_T1_tsst,1f89cf6a-ff9c-44af-bef9-deff86ba1321,12013_P,1680535528979000000,1680536456559000000,recording.begin,recording.end
31928cd6-cc83-4b3e-87a1-3b55d002fecc,08752160-b019-4728-ab31-e9bbfdcaf70d,12062_P_T1_tsst,0425a5bd-b996-42f3-a867-a1c1bdff19fc,12062_P,1701202821131000000,1701204068798000000,recording.begin,recording.end
26642e7c-6ab9-40c7-a055-8d0b2bea88c4,0ab57474-f569-4036-ba53-5c29a9b58280,12029_P_T1_tsst,cddf6290-aed2-4b64-bfb7-002097a4bf43,12029_P,1689534218938000000,1689535420075000000,recording.begin,recording.end
7d785d44-2588-452a-acff-6b3dab8a35ed,0c346416-3a2c-4d34-a073-7509e06961a1,12014_P_T1_tsst,5fd48529-c012-4cb9-94c4-3fa4a2643eb9,12014_P,1682780383645000000,1682781495419000000,recording.begin,recording.end
347d6b90-4ad5-491d-9e9c-b7f7873e96d5,1c542152-f9ed-4898-afc9-05c674349a2a,12072_P_T1_tsst,ca4498fd-d116-4921-acf5-896570293f6d,12072_P,1713125385075000000,1713126696474000000,recording.begin,recording.end
75d542d0-8e0f-468d-98b8-dbb295748feb,20b1429a-be72-4cce-9d70-d44778aedf04,12054_P_T1_tsst,564f00c5-369a-4ad6-bb6d-034acada6236,12054_P,1697987940440000000,1697989128388000000,recording.begin,recording.end
873ee4e7-43f8-4387-907d-6d18b37dc096,22e9a787-2151-47f5-a95a-830e155392a7,12003_P_T1_tsst,719def95-9b64-421e-a13e-2677b6faaefa,12003_P,1691090133438000000,1691091231883759627,recording.begin,recording.end
3384d75c-e91d-4641-b668-68eae5f52a65,232c2103-0a3f-454c-b950-ac39af1394b8,12060_P_T1_tsst,92b2c49f-adb2-43e8-a63e-0efe0739a94b,12060_P,1706375337156000000,1706376882988000000,recording.begin,recording.end
6da81e0a-4cf7-49bc-b925-5b229f742bcc,23471220-47b5-4c3f-a988-bf2babb7bfc5,12026_P_T1_tsst,e9ae2625-4c06-4c4b-a4d6-727be65ef712,12026_P,1690657433618000000,1690658623935000000,recording.begin,recording.end
f2664afc-41d9-4302-b43a-545881361c02,2b3e33fb-d969-4e56-95c5-a74cfc365111,12085_P_T1_tsst,74b2286c-070e-479e-a7da-daccde3cd808,12085_P,1720971647984000000,1720972411875000000,recording.begin,recording.end
