section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
ec94417f-18d4-4a03-8fb5-2aa1ceb0052b,de91c863-fbfa-43e4-a08b-b225a0431a51,1,1713817790086328556,1713817790106299556,20,22.526527850659818,1.7018591892688422,1200.951776446183,1318.77354987332
ec94417f-18d4-4a03-8fb5-2aa1ceb0052b,de91c863-fbfa-43e4-a08b-b225a0431a51,2,1713817790882362556,1713817791034370556,152,78.48875615194525,5.9276402259886,2090.613021423188,4014.402662691504
ec94417f-18d4-4a03-8fb5-2aa1ceb0052b,de91c863-fbfa-43e4-a08b-b225a0431a51,3,1713817791586296556,1713817791686263556,100,45.54379505837087,3.4394535057601443,1060.6993442390208,2202.7643620177973
ec94417f-18d4-4a03-8fb5-2aa1ceb0052b,de91c863-fbfa-43e4-a08b-b225a0431a51,4,1713817791902364556,1713817792038348556,136,121.83075794724353,9.205319555650396,4014.7399590436485,8773.71916012766
ec94417f-18d4-4a03-8fb5-2aa1ceb0052b,de91c863-fbfa-43e4-a08b-b225a0431a51,5,1713817792102322556,1713817792166328556,64,54.458308398093195,4.114389468563141,1431.548207963202,2986.4025631194227
ec94417f-18d4-4a03-8fb5-2aa1ceb0052b,de91c863-fbfa-43e4-a08b-b225a0431a51,6,1713817792234363556,1713817792254383556,20,31.351067828155266,2.3659450735826995,1442.3890650432927,1885.9839794077175
ec94417f-18d4-4a03-8fb5-2aa1ceb0052b,de91c863-fbfa-43e4-a08b-b225a0431a51,7,1713817792586376556,1713817792666323556,80,387.6019406976711,29.259315058782928,4889.793724239013,7475.380872590598
ec94417f-18d4-4a03-8fb5-2aa1ceb0052b,de91c863-fbfa-43e4-a08b-b225a0431a51,8,1713817792886301556,1713817792930321556,44,79.00309311670672,5.94962008465888,1797.9260316914615,2655.8635073322057
ec94417f-18d4-4a03-8fb5-2aa1ceb0052b,de91c863-fbfa-43e4-a08b-b225a0431a51,9,1713817793094376556,1713817793330369556,236,316.81279206511323,23.878173818164214,2179.740246791375,6856.030845559688
ec94417f-18d4-4a03-8fb5-2aa1ceb0052b,de91c863-fbfa-43e4-a08b-b225a0431a51,10,1713817793774358556,1713817794010374556,236,338.27297380852565,25.44890947456544,2828.342561247681,8832.70233834429
ec94417f-18d4-4a03-8fb5-2aa1ceb0052b,de91c863-fbfa-43e4-a08b-b225a0431a51,11,1713817794398283556,1713817794614326556,216,86.41860137867369,6.533613606483708,1587.201548707742,4418.745928771605
ec94417f-18d4-4a03-8fb5-2aa1ceb0052b,de91c863-fbfa-43e4-a08b-b225a0431a51,12,1713817794714330556,1713817794790324556,76,134.4640534713629,9.808827200443037,1953.6133475058996,3248.59265282882
ec94417f-18d4-4a03-8fb5-2aa1ceb0052b,de91c863-fbfa-43e4-a08b-b225a0431a51,13,1713817794954329556,1713817794990386556,36,62.12343374413992,4.577039954563853,1900.5465596136876,2552.2272775302026
ec94417f-18d4-4a03-8fb5-2aa1ceb0052b,de91c863-fbfa-43e4-a08b-b225a0431a51,14,1713817795190245556,1713817795222286556,32,49.606282491879945,3.612316234892761,1819.344834214018,2283.896658471783
ec94417f-18d4-4a03-8fb5-2aa1ceb0052b,de91c863-fbfa-43e4-a08b-b225a0431a51,15,1713817795386364556,1713817795438296556,52,28.27111958282869,2.1329587001021246,1473.9654704612815,2466.2809371554713
ec94417f-18d4-4a03-8fb5-2aa1ceb0052b,de91c863-fbfa-43e4-a08b-b225a0431a51,16,1713817795566319556,1713817795598280556,32,34.74094034656718,2.5440460053739935,1239.6140543595245,1494.5423705387832
ec94417f-18d4-4a03-8fb5-2aa1ceb0052b,de91c863-fbfa-43e4-a08b-b225a0431a51,17,1713817795994292556,1713817796014275556,20,23.576228872432868,1.754626240483142,1267.0665295810052,1543.2189708877
ec94417f-18d4-4a03-8fb5-2aa1ceb0052b,de91c863-fbfa-43e4-a08b-b225a0431a51,18,1713817796302375556,1713817796614434556,312,31.09837581100894,2.3314710723275796,1573.1469180192657,3625.2573803546466
