id,participant,cprep,cspeech,pprep,pspeech
12052,p,20,13,22,29
12053,c,15,NA,28,35
12054,c,21,17,13,12
12054,p,81,77,59,74
12055,c,8,3,10,5
12055,p,37,30,36,57
12056,c,17,9,30,11
12056,p,45,39,49,59
12058,c,21,8,29,43
12058,p,47,44,37,64
12059,c,52,20,20,21
12059,p,17,15,17,35
12060,c,14,11,12,30
12060,p,26,20,26,54
12062,c,32,15,25,27
12062,p,19,17,30,15
12064,c,49,72,29,36
12064,p,41,23,35,34
12065,c,32,25,24,NA
12065,p,41,40,43,NA
12066,c,24,8,17,19
12066,p,49,47,39,59
12068,c,30,24,13,13
12068,p,67,45,51,57
12069,p,57,50,42,61
12070,c,16,7,26,18
12070,p,99,77,91,115
12071,c,17,NA,18,30
12071,p,71,NA,77,69
12072,c,49,39,31,27
12072,p,55,66,65,43
12073,p,33,13,32,32
12074,c,15,12,15,21
12074,p,58,36,51,112
12075,c,27,17,30,NA
12075,p,125,95,106,93
12076,c,26,34,24,23
12076,p,68,76,88,77
12079,c,20,36,20,15
12079,p,24,37,30,35
12080,c,31,16,19,24
12081,c,26,5,34,18
12081,p,56,59,29,90
12082,c,28,11,20,16
12082,p,47,56,98,72
12083,c,46,46,46,44
12083,p,76,59,81,75
12085,p,NA,NA,8,NA
