section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
264bfef2-4376-4fb0-b3e9-dde1c2f0e431,5f0751f1-d009-4729-ae26-88daf91d0d69,1,1690657730919452398,1690657730971427398,52,55.78719076151173,4.216596779609617,1239.1240591745748,1453.3865640900597
264bfef2-4376-4fb0-b3e9-dde1c2f0e431,5f0751f1-d009-4729-ae26-88daf91d0d69,2,1690657731039448398,1690657731119474398,80,115.52100008525154,8.801488889341895,1524.2764286251472,1820.8578299506619
264bfef2-4376-4fb0-b3e9-dde1c2f0e431,5f0751f1-d009-4729-ae26-88daf91d0d69,3,1690657731187428398,1690657731259515398,72,138.1580090367087,9.815260562079771,1919.0060006333924,2228.4145285103787
264bfef2-4376-4fb0-b3e9-dde1c2f0e431,5f0751f1-d009-4729-ae26-88daf91d0d69,4,1690657731539420398,1690657731579434398,40,63.835979648799814,4.857763852223003,1632.0645044806543,2055.956015202185
264bfef2-4376-4fb0-b3e9-dde1c2f0e431,5f0751f1-d009-4729-ae26-88daf91d0d69,5,1690657731875457398,1690657731895440398,20,29.474090493873987,2.298007475402778,1245.589754351851,1411.1733398191066
264bfef2-4376-4fb0-b3e9-dde1c2f0e431,5f0751f1-d009-4729-ae26-88daf91d0d69,6,1690657732191404398,1690657732211407398,20,19.563275102948698,1.5239483191134808,1068.0120383727758,1160.215904811754
264bfef2-4376-4fb0-b3e9-dde1c2f0e431,5f0751f1-d009-4729-ae26-88daf91d0d69,7,1690657733031462398,1690657733151499398,120,246.36329642275726,18.92918388593133,2576.7119733939426,5757.89161731709
264bfef2-4376-4fb0-b3e9-dde1c2f0e431,5f0751f1-d009-4729-ae26-88daf91d0d69,8,1690657733223526398,1690657733251479398,28,28.928444857682,2.176653706624343,1174.2344704512936,1327.112596738422
264bfef2-4376-4fb0-b3e9-dde1c2f0e431,5f0751f1-d009-4729-ae26-88daf91d0d69,9,1690657735495476398,1690657735611429398,116,546.2248964114796,41.26700736820592,5933.504934669214,14788.295127833522
264bfef2-4376-4fb0-b3e9-dde1c2f0e431,5f0751f1-d009-4729-ae26-88daf91d0d69,10,1690657735695482398,1690657736275553398,580,335.2977772891258,25.240698655355743,2213.2727469244223,7950.910107508201
264bfef2-4376-4fb0-b3e9-dde1c2f0e431,5f0751f1-d009-4729-ae26-88daf91d0d69,11,1690657736363455398,1690657736391620398,28,42.80360754845643,3.3209485990919414,1553.894196110811,1852.9785067700923
264bfef2-4376-4fb0-b3e9-dde1c2f0e431,5f0751f1-d009-4729-ae26-88daf91d0d69,12,1690657742375433398,1690657742411386398,36,47.23971220877957,3.549511382060454,1395.6725150874222,1787.118226600864
264bfef2-4376-4fb0-b3e9-dde1c2f0e431,5f0751f1-d009-4729-ae26-88daf91d0d69,13,1690657742815434398,1690657742951448398,136,120.22993722550241,9.092400455408933,970.0264456049356,2063.895309299246
264bfef2-4376-4fb0-b3e9-dde1c2f0e431,5f0751f1-d009-4729-ae26-88daf91d0d69,14,1690657743275459398,1690657743463425398,188,538.524158813271,40.844163063262236,3670.6681656158303,8329.206798533121
264bfef2-4376-4fb0-b3e9-dde1c2f0e431,5f0751f1-d009-4729-ae26-88daf91d0d69,15,1690657743655426398,1690657743703402398,48,174.69005821941198,13.199629235497701,4006.60130158946,5841.634860462507
264bfef2-4376-4fb0-b3e9-dde1c2f0e431,5f0751f1-d009-4729-ae26-88daf91d0d69,16,1690657743895394398,1690657743931416398,36,40.37045465708568,3.045564558047905,1219.621702704512,1318.3216096981046
264bfef2-4376-4fb0-b3e9-dde1c2f0e431,5f0751f1-d009-4729-ae26-88daf91d0d69,17,1690657745423471398,1690657745463408398,40,89.86089268704988,6.735377402328941,2414.4293391307265,3355.6245099833486
264bfef2-4376-4fb0-b3e9-dde1c2f0e431,5f0751f1-d009-4729-ae26-88daf91d0d69,18,1690657751215466398,1690657751927469398,712,332.2940950304753,25.016941233767653,2489.0179027709005,9941.483161609136
264bfef2-4376-4fb0-b3e9-dde1c2f0e431,5f0751f1-d009-4729-ae26-88daf91d0d69,19,1690657752099442398,1690657752159424398,60,265.1483224840662,20.028538083114558,4553.010234190329,7209.757324711054
264bfef2-4376-4fb0-b3e9-dde1c2f0e431,5f0751f1-d009-4729-ae26-88daf91d0d69,20,1690657752519639398,1690657752583478398,64,232.38372332420482,17.505317371362423,3698.4166210781577,5967.515258759649
