fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
1,1650047735406932765,1650047735822867765,415,581.6764306451613,869.910582580645,3.4341375967741934,-24.19829777419355
2,1650047735862840765,1650047737094937765,1232,557.5838465853658,919.6388841463416,1.5327727487804879,-27.98029509756098
3,1650047737254870765,1650047737754849765,499,761.5787961290323,392.75398129032266,17.078926709677418,11.70612698387097
4,1650047737794889765,1650047737978858765,183,687.697045,365.57825500000007,11.471640083333334,13.841264291666668
5,1650047738010861765,1650047739186862765,1176,595.2402436250001,384.83255325,4.33457,12.455895712499998
6,1650047739474857765,1650047740814853765,1339,587.4494695348836,913.7691139534883,3.981327539418605,-27.5191281627907
7,1650047740854887765,1650047741102873765,247,501.9000099999999,903.2423547058823,-3.0310208235294125,-26.729068941176468
8,1650047741142899765,1650047742230906765,1088,475.4995510666667,915.5197208000002,-5.217981730666667,-27.6381582
9,1650047742290893765,1650047742746886765,455,601.6014728125,928.9592943749999,5.181360721875,-28.660399125
10,1650047743062885765,1650047743262912765,200,543.3565914285714,427.1611542857143,0.33522322357142853,9.269601014285715
11,1650047743302909765,1650047743602848765,299,554.4752090000001,554.5907435,1.1701981369999999,-0.36959551925
12,1650047744226859765,1650047744426864765,200,813.8983385714288,647.4620942857143,20.907084285714284,-7.223283207142857
13,1650047744598868765,1650047745034878765,436,548.9394113333333,558.7437476666668,0.7517710952666667,-0.6834876532333333
14,1650047745290861765,1650047745890911765,600,636.0717002439025,563.0957763414633,7.3414323951219504,-1.01005932
15,1650047746110850765,1650047746214851765,104,388.3133971428571,826.7295271428571,-11.926395428571428,-20.800090285714283
16,1650047746330890765,1650047746538874765,207,696.1494342857143,455.0854985714286,11.952340071428571,7.103340128571429
17,1650047746582847765,1650047747274868765,692,523.9691664583333,500.22384937499993,-1.13752255075,3.7422001104166664
18,1650047747418847765,1650047747562871765,144,501.687611,524.32708,-2.8222667899999996,1.9184429299999999
19,1650047747594990765,1650047747998883765,403,464.80550357142863,483.94669357142857,-5.623868960714286,4.965791242857143
20,1650047748154866765,1650047748346899765,192,438.8764323076923,520.533416923077,-7.573603838461538,2.200156184615384
21,1650047748386880765,1650047748538877765,151,575.2660490909091,554.1130309090909,2.7421475636363635,-0.3332945827272727
22,1650047749054869765,1650047749294867765,239,602.608755882353,617.2721405882353,4.8217669058823525,-5.102854235294118
23,1650047749510858765,1650047751122854765,1611,483.2367331818182,562.1194364545455,-4.218066396727274,-0.9364083802909091
24,1650047751302953765,1650047751370855765,67,695.7087925,772.0314900000001,12.199842,-16.68113425
25,1650047751438866765,1650047751990835765,551,638.9115894736841,769.7642423684209,7.77079975,-16.58293773684211
26,1650047752078861765,1650047752410849765,331,600.7881708695652,831.2208413043478,4.898464960869565,-21.257254347826088
27,1650047752454853765,1650047752842859765,388,623.5810729629629,715.894812962963,6.497658566666666,-12.536315425925928
28,1650047753054923765,1650047753466870765,411,651.9838885714287,726.6867250000001,8.697541146428572,-13.327401428571429
29,1650047753510869765,1650047753870887765,360,573.9744588,825.397236,2.7671258599999997,-20.83297776
30,1650047753906869765,1650047754174864765,267,593.9032131578948,774.7008142105263,4.276256778947368,-16.99193847368421
31,1650047754206849765,1650047754546863765,340,542.895777826087,820.4779282608696,0.3089071650434782,-20.468370869565216
32,1650047754586904765,1650047755222870765,635,618.5004938636365,739.9771527272728,6.138726079545455,-14.35552694318182
33,1650047755238861765,1650047755530898765,292,590.4431878947369,730.7050526315788,3.9637757263157893,-13.671337105263158
34,1650047755558848765,1650047755834881765,276,605.7937368421053,707.5836321052633,5.122773910526316,-11.919220842105261
35,1650047755906875765,1650047756098870765,191,431.9485861538461,523.2487215384615,-8.096798407692308,1.9946415923076926
36,1650047756126862765,1650047757298856765,1171,442.234039125,524.124008125,-7.31919518125,1.9289905552500002
37,1650047757342867765,1650047757502881765,160,574.1800318181818,500.9895827272727,2.663636981818182,3.6832401545454547
