recording id,timestamp [ns],name,type,id,participant
2bf39cc5-0734-463c-91f8-250be388fbc2,1.6418377989299999e+18,recording.begin,recording,1103,c
2bf39cc5-0734-463c-91f8-250be388fbc2,1.6418380983900001e+18,pprep.start,cloud,1103,c
2bf39cc5-0734-463c-91f8-250be388fbc2,1.6418382303379999e+18,pprep.end,cloud,1103,c
2bf39cc5-0734-463c-91f8-250be388fbc2,164183823198e7,pspeech.start,cloud,1103,c
2bf39cc5-0734-463c-91f8-250be388fbc2,1641838357309e6,pspeech.end,cloud,1103,c
2bf39cc5-0734-463c-91f8-250be388fbc2,164183847244e7,cprep.start,cloud,1103,c
2bf39cc5-0734-463c-91f8-250be388fbc2,1.6418385983580001e+18,cprep.end,cloud,1103,c
2bf39cc5-0734-463c-91f8-250be388fbc2,1641838600347e6,cspeech.start,cloud,1103,c
2bf39cc5-0734-463c-91f8-250be388fbc2,1.6418387216060001e+18,cspeech.end,cloud,1103,c
2bf39cc5-0734-463c-91f8-250be388fbc2,1641838767476e6,recording.end,recording,1103,c
23c8f8e9-6ea3-4adc-a744-b8e26be2a9df,164183790884e7,recording.begin,recording,1103,p
23c8f8e9-6ea3-4adc-a744-b8e26be2a9df,1641838099164e6,pprep.start,cloud,1103,p
23c8f8e9-6ea3-4adc-a744-b8e26be2a9df,1641838231112e6,pprep.end,cloud,1103,p
23c8f8e9-6ea3-4adc-a744-b8e26be2a9df,1.6418382327539999e+18,pspeech.start,cloud,1103,p
23c8f8e9-6ea3-4adc-a744-b8e26be2a9df,1641838358083e6,pspeech.end,cloud,1103,p
23c8f8e9-6ea3-4adc-a744-b8e26be2a9df,1.6418384732140001e+18,cprep.start,cloud,1103,p
23c8f8e9-6ea3-4adc-a744-b8e26be2a9df,1641838599132e6,cprep.end,cloud,1103,p
23c8f8e9-6ea3-4adc-a744-b8e26be2a9df,1641838601121e6,cspeech.start,cloud,1103,p
23c8f8e9-6ea3-4adc-a744-b8e26be2a9df,164183872238e7,cspeech.end,cloud,1103,p
23c8f8e9-6ea3-4adc-a744-b8e26be2a9df,1.6418387911379999e+18,recording.end,recording,1103,p
8b3b6429-1fd2-4402-b67a-41e32f924f47,1643055826692e6,recording.begin,recording,1104,c
8b3b6429-1fd2-4402-b67a-41e32f924f47,1643056159240775200,pprep.start,cloud,1104,c
8b3b6429-1fd2-4402-b67a-41e32f924f47,1643056293752833e3,pprep.end,cloud,1104,c
8b3b6429-1fd2-4402-b67a-41e32f924f47,1643056295847681e3,pspeech.start,cloud,1104,c
8b3b6429-1fd2-4402-b67a-41e32f924f47,1643056416218885e3,pspeech.end,cloud,1104,c
8b3b6429-1fd2-4402-b67a-41e32f924f47,1643056536128956200,cprep.start,cloud,1104,c
8b3b6429-1fd2-4402-b67a-41e32f924f47,1643056688637506e3,cprep.end,cloud,1104,c
8b3b6429-1fd2-4402-b67a-41e32f924f47,1643056691339336e3,cspeech.start,cloud,1104,c
8b3b6429-1fd2-4402-b67a-41e32f924f47,1.6430568218046561e+18,cspeech.end,cloud,1104,c
8b3b6429-1fd2-4402-b67a-41e32f924f47,1643056894853e6,recording.end,recording,1104,c
42b8753d-5582-4286-89bb-1cbd3ab1e441,1642802641784e6,recording.begin,recording,1109,p
42b8753d-5582-4286-89bb-1cbd3ab1e441,1642803222589e6,pprep.start,cloud,1109,p
42b8753d-5582-4286-89bb-1cbd3ab1e441,1642803345595e6,pprep.end,cloud,1109,p
42b8753d-5582-4286-89bb-1cbd3ab1e441,1642803347297e6,pspeech.start,cloud,1109,p
42b8753d-5582-4286-89bb-1cbd3ab1e441,1642803467399e6,pspeech.end,cloud,1109,p
42b8753d-5582-4286-89bb-1cbd3ab1e441,1642803642872e6,cprep.start,cloud,1109,p
42b8753d-5582-4286-89bb-1cbd3ab1e441,1642803761317e6,cprep.end,cloud,1109,p
42b8753d-5582-4286-89bb-1cbd3ab1e441,1642803764091e6,cspeech.start,cloud,1109,p
42b8753d-5582-4286-89bb-1cbd3ab1e441,1.6428038878019999e+18,cspeech.end,cloud,1109,p
42b8753d-5582-4286-89bb-1cbd3ab1e441,1642803961243e6,recording.end,recording,1109,p
4a3b2deb-780c-4394-adff-7516ac977d40,165291e13,recording.begin,recording,1110,c
4a3b2deb-780c-4394-adff-7516ac977d40,165291e13,pprep.start,cloud,1110,c
4a3b2deb-780c-4394-adff-7516ac977d40,165291e13,pprep.end,cloud,1110,c
4a3b2deb-780c-4394-adff-7516ac977d40,165291e13,pspeech.start,cloud,1110,c
