recording id,id,participant,recording.begin,pprep.start,pprep.end,pspeech.start,pspeech.end,cprep.start,cprep.end,cspeech.start,cspeech.end,recording.end
2bf39cc5-0734-463c-91f8-250be388fbc2,1103,c,1.6418377989299999e+18,1.6418380983900001e+18,1.6418382303379999e+18,164183823198e7,1641838357309e6,164183847244e7,1.6418385983580001e+18,1641838600347e6,1.6418387216060001e+18,1641838767476e6
23c8f8e9-6ea3-4adc-a744-b8e26be2a9df,1103,p,164183790884e7,1641838099164e6,1641838231112e6,1.6418382327539999e+18,1641838358083e6,1.6418384732140001e+18,1641838599132e6,1641838601121e6,164183872238e7,1.6418387911379999e+18
8b3b6429-1fd2-4402-b67a-41e32f924f47,1104,c,1643055826692e6,1643056159240775200,1643056293752833e3,1643056295847681e3,1643056416218885e3,1643056536128956200,1643056688637506e3,1643056691339336e3,1.6430568218046561e+18,1643056894853e6
42b8753d-5582-4286-89bb-1cbd3ab1e441,1109,p,1642802641784e6,1642803222589e6,1642803345595e6,1642803347297e6,1642803467399e6,1642803642872e6,1642803761317e6,1642803764091e6,1.6428038878019999e+18,1642803961243e6
4a3b2deb-780c-4394-adff-7516ac977d40,1110,c,165291e13,165291e13,165291e13,165291e13,165292e13,165292e13,165292e13,165292e13,165292e13,165292e13
d73311f9-6012-40c8-b4b2-78def3498aad,1110,p,1652914470205e6,1652914788427e6,1652914897287e6,1652914898837e6,1652915026927e6,1652915165613e6,1652915290283e6,1652915292216e6,1652915416367e6,1652915602087e6
a2707187-3e7a-4ffc-8387-045d4a8a1a24,1112,p,1642030256565e6,1642030608676e6,1.6420307352860001e+18,1642030737125e6,1.6420308685980001e+18,1.6420309543580001e+18,1642031079027e6,1642031080923e6,1642031205776e6,1642031248919e6
16857623-0044-40b2-906d-92a0b23ac730,1113,c,1646421258897e6,1646421639057033e3,1646421752203502e3,1646421753499954e3,1646421876577151e3,NA,NA,NA,NA,1.6464219490460001e+18
61efad8e-51cd-4490-8954-e0666da2802b,1113,p,1.6464213350380001e+18,1646421638651367e3,1646421752000721e3,1646421753262281e3,1646421876367483e3,1646422039825993e3,1.6464221600053279e+18,1646422161479711e3,1646422284267296e3,1.6464224507059999e+18
fa1652a3-c6dc-4e99-b76d-4b82a56db885,1114,c,1646328725404e6,1646329387034369e3,1646329512588682800,1646329514492843e3,1646329640494151200,1646329814185735200,1646329939459167e3,1646329942137857e3,1.6463300657946721e+18,1.6463302944179999e+18
e35a59d4-f74e-4f7b-bf6c-2c3806e5b70b,1114,p,1646328722607e6,1646329387015489e3,1646329512575932200,1646329514410173200,1646329640448003800,1646329814193027800,1646329939407946e3,1646329942064337e3,1646330065706979800,1646330286713e6
