"#file:///C:/Users/htalia/Box/P-CAT Research/blinks/11004_P/PI left v1 ps1.mp4 -- offset: 0, duration: 00:17:25.751 / 1045.751 / 1045751, ms per sample: 5.0079",,,,,,,,,,,
Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,eye_blinks,not_visible,timestamps
12:05.5,725.52,725520,12:06.0,725.98,725980,00:00.5,0.46,460,1,,
12:08.2,728.21,728210,12:08.3,728.34,728340,00:00.1,0.13,130,1,,
12:12.7,732.7,732700,12:12.9,732.85,732850,00:00.2,0.15,150,1,,
12:14.2,734.24,734240,12:14.4,734.43,734430,00:00.2,0.19,190,1,,
12:15.3,735.34,735340,12:15.5,735.5,735500,00:00.2,0.16,160,1,,
12:17.7,737.7,737700,12:18.2,738.19,738190,00:00.5,0.49,490,1,,
12:18.2,738.23,738230,12:18.4,738.36,738360,00:00.1,0.13,130,1,,
12:26.0,745.95,745950,12:26.1,746.12,746120,00:00.2,0.17,170,1,,
12:29.6,749.57,749570,12:29.8,749.76,749760,00:00.2,0.19,190,1,,
12:40.8,760.77,760770,12:40.9,760.93,760930,00:00.2,0.16,160,1,,
12:46.5,766.48,766480,12:46.8,766.78,766780,00:00.3,0.3,300,1,,
12:47.1,767.06,767060,12:47.2,767.19,767190,00:00.1,0.13,130,1,,
12:54.4,774.41,774410,12:54.6,774.56,774560,00:00.2,0.15,150,1,,
12:59.7,779.75,779750,13:00.0,779.96,779960,00:00.2,0.21,210,1,,
13:07.3,787.32,787320,13:07.5,787.49,787490,00:00.2,0.17,170,1,,
13:07.8,787.77,787770,13:07.9,787.92,787920,00:00.2,0.15,150,1,,
13:09.0,788.95,788950,13:09.1,789.11,789110,00:00.2,0.16,160,1,,
13:10.8,790.84,790840,13:11.0,790.99,790990,00:00.2,0.15,150,1,,
13:22.0,801.98,801980,13:22.3,802.3,802300,00:00.3,0.32,320,1,,
13:34.8,814.77,814770,13:35.0,815,815000,00:00.2,0.23,230,1,,
13:36.8,816.83,816830,13:37.2,817.16,817160,00:00.3,0.33,330,1,,
13:37.2,817.25,817250,13:37.4,817.41,817410,00:00.2,0.16,160,1,,
13:40.4,820.42,820420,13:40.6,820.57,820570,00:00.2,0.15,150,1,,
13:41.0,820.99,820990,13:41.0,821.01,821010,00:00.0,0.02,20,,,cprep.end
13:46.6,826.56,826560,13:46.6,826.57,826570,00:00.0,0.01,10,,,cspeech.start
13:59.7,839.67,839670,13:59.8,839.76,839760,00:00.1,0.09,90,1,,
14:01.7,841.74,841740,14:01.9,841.88,841880,00:00.1,0.14,140,1,,
14:16.9,856.87,856870,14:17.0,857,857000,00:00.1,0.13,130,1,,
14:21.9,861.89,861890,14:22.0,862.02,862020,00:00.1,0.13,130,1,,
14:31.0,870.99,870990,14:31.2,871.16,871160,00:00.2,0.17,170,1,,
14:41.0,880.97,880970,14:41.1,881.12,881120,00:00.2,0.15,150,1,,
14:41.2,881.18,881180,14:41.4,881.36,881360,00:00.2,0.18,180,1,,
14:41.4,881.42,881420,14:41.6,881.56,881560,00:00.1,0.14,140,1,,
14:47.1,887.05,887050,14:47.2,887.18,887180,00:00.1,0.13,130,1,,
15:03.7,903.71,903710,15:04.0,903.99,903990,00:00.3,0.28,280,1,,
15:19.1,919.06,919060,15:19.2,919.24,919240,00:00.2,0.18,180,1,,
15:38.8,938.77,938770,15:38.9,938.94,938940,00:00.2,0.17,170,1,,
15:41.8,941.78,941780,15:42.1,942.06,942060,00:00.3,0.28,280,1,,
15:44.4,944.35,944350,15:44.4,944.36,944360,00:00.0,0.01,10,,,cspeech.end
