"#file:///C:/Users/talia/Box/P-CAT Research/blinks/11008_P/PI left v1 ps1.mp4 -- offset: 0, duration: 00:14:01.776 / 841.776 / 841776, ms per sample: 5.0194",,,,,,,,,,,
Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,eye_blinks,not_visible,timestamps
02:40.6,160.62,160620,02:40.6,160.64,160640,00:00.0,0.02,20,,,pprep.start
02:43.6,163.634,163634,02:43.7,163.738,163738,00:00.1,0.104,104,1,,
02:46.4,166.359,166359,02:46.5,166.524,166524,00:00.2,0.165,165,1,,
02:47.0,167.048,167048,02:47.2,167.166,167166,00:00.1,0.118,118,1,,
02:47.5,167.517,167517,02:47.6,167.6,167600,00:00.1,0.083,83,1,,
02:51.3,171.276,171276,02:51.4,171.372,171372,00:00.1,0.096,96,1,,
02:55.8,175.793,175793,02:55.9,175.91,175910,00:00.1,0.117,117,1,,
03:07.8,187.772,187772,03:07.9,187.91,187910,00:00.1,0.138,138,1,,
03:09.8,189.759,189759,03:09.9,189.869,189869,00:00.1,0.11,110,1,,
03:12.2,192.228,192228,03:12.3,192.31,192310,00:00.1,0.082,82,1,,
03:18.6,198.552,198552,03:18.6,198.648,198648,00:00.1,0.096,96,1,,
03:19.3,199.297,199297,03:19.4,199.386,199386,00:00.1,0.089,89,1,,
03:23.1,203.117,203117,03:23.2,203.241,203241,00:00.1,0.124,124,1,,
03:26.4,206.372,206372,03:26.6,206.552,206552,00:00.2,0.18,180,1,,
03:28.8,208.793,208793,03:28.9,208.938,208938,00:00.1,0.145,145,1,,
03:34.4,214.448,214448,03:34.6,214.614,214614,00:00.2,0.166,166,1,,
03:37.0,216.966,216966,03:37.2,217.2,217200,00:00.2,0.234,234,1,,
03:42.3,222.31,222310,03:42.4,222.414,222414,00:00.1,0.104,104,1,,
03:42.8,222.807,222807,03:42.9,222.924,222924,00:00.1,0.117,117,1,,
03:43.3,223.262,223262,03:43.4,223.366,223366,00:00.1,0.104,104,1,,
03:49.0,228.993,228993,03:49.1,229.11,229110,00:00.1,0.117,117,1,,
03:56.2,236.221,236221,03:56.5,236.462,236462,00:00.2,0.241,241,1,,
03:57.6,237.552,237552,03:57.9,237.862,237862,00:00.3,0.31,310,1,,
04:10.3,250.297,250297,04:10.4,250.448,250448,00:00.2,0.151,151,1,,
04:11.0,250.972,250972,04:11.4,251.359,251359,00:00.4,0.387,387,1,,
04:11.8,251.772,251772,04:12.0,251.993,251993,00:00.2,0.221,221,1,,
04:12.4,252.359,252359,04:12.5,252.497,252497,00:00.1,0.138,138,1,,
04:15.2,255.172,255172,04:15.4,255.366,255366,00:00.2,0.194,194,1,,
04:17.2,257.179,257179,04:17.3,257.276,257276,00:00.1,0.097,97,1,,
04:20.3,260.317,260317,04:20.5,260.531,260531,00:00.2,0.214,214,1,,
04:22.2,262.221,262221,04:22.4,262.428,262428,00:00.2,0.207,207,1,,
04:23.0,263.014,263014,04:23.1,263.138,263138,00:00.1,0.124,124,1,,
04:27.5,267.469,267469,04:27.7,267.724,267724,00:00.3,0.255,255,1,,
04:29.8,269.828,269828,04:29.9,269.938,269938,00:00.1,0.11,110,1,,
04:33.4,273.386,273386,04:33.5,273.49,273490,00:00.1,0.104,104,1,,
04:37.2,277.18,277180,04:37.2,277.2,277200,00:00.0,0.02,20,,,pprep.end
04:41.3,281.31,281310,04:41.3,281.32,281320,00:00.0,0.01,10,,,pspeech.start
04:46.8,286.8,286800,04:47.0,286.972,286972,00:00.2,0.172,172,1,,
04:48.2,288.214,288214,04:48.3,288.324,288324,00:00.1,0.11,110,1,,
04:49.7,289.69,289690,04:49.8,289.8,289800,00:00.1,0.11,110,1,,
04:51.6,291.607,291607,04:51.7,291.738,291738,00:00.1,0.131,131,1,,
04:53.6,293.614,293614,04:53.8,293.752,293752,00:00.1,0.138,138,1,,
04:57.3,297.276,297276,04:57.4,297.448,297448,00:00.2,0.172,172,1,,
04:59.4,299.414,299414,04:59.6,299.572,299572,00:00.2,0.158,158,1,,
05:01.8,301.835,301835,05:02.0,302.014,302014,00:00.2,0.179,179,1,,
05:03.4,303.4,303400,05:03.5,303.497,303497,00:00.1,0.097,97,1,,
05:04.7,304.717,304717,05:04.9,304.876,304876,00:00.2,0.159,159,1,,
05:11.0,311.007,311007,05:11.2,311.179,311179,00:00.2,0.172,172,1,,
05:12.2,312.186,312186,05:12.3,312.345,312345,00:00.2,0.159,159,1,,
05:15.6,315.607,315607,05:15.9,315.89,315890,00:00.3,0.283,283,1,,
05:18.9,318.938,318938,05:19.1,319.124,319124,00:00.2,0.186,186,1,,
05:23.2,323.235,323235,05:23.5,323.476,323476,00:00.2,0.241,241,1,,
05:35.0,334.986,334986,05:35.2,335.2,335200,00:00.2,0.214,214,1,,
05:37.6,337.579,337579,05:37.7,337.724,337724,00:00.1,0.145,145,1,,
05:38.8,338.821,338821,05:39.0,338.979,338979,00:00.2,0.158,158,1,,
05:41.1,341.145,341145,05:41.3,341.283,341283,00:00.1,0.138,138,1,,
05:52.5,352.503,352503,05:52.8,352.772,352772,00:00.3,0.269,269,1,,
06:01.4,361.435,361435,06:01.9,361.855,361855,00:00.4,0.42,420,1,,
06:03.2,363.186,363186,06:03.4,363.435,363435,00:00.2,0.249,249,1,,
06:06.9,366.903,366903,06:07.0,367.041,367041,00:00.1,0.138,138,1,,
06:08.9,368.917,368917,06:09.3,369.331,369331,00:00.4,0.414,414,1,,
06:12.6,372.614,372614,06:12.9,372.945,372945,00:00.3,0.331,331,1,,
06:13.4,373.359,373359,06:13.5,373.483,373483,00:00.1,0.124,124,1,,
06:16.3,376.275,376275,06:16.5,376.503,376503,00:00.2,0.228,228,1,,
06:17.9,377.862,377862,06:18.1,378.096,378096,00:00.2,0.234,234,1,,
06:20.4,380.389,380389,06:20.5,380.509,380509,00:00.1,0.12,120,1,,
06:22.5,382.503,382503,06:22.7,382.671,382671,00:00.2,0.168,168,1,,
06:23.2,383.234,383234,06:23.4,383.389,383389,00:00.2,0.155,155,1,,
06:25.8,385.76,385760,06:26.0,386.042,386042,00:00.3,0.282,282,1,,
