fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
1,1653084200597788465,1653084200697750465,99,811.9997925,454.2601375,19.615914500000002,6.760413312500001
2,1653084200749747465,1653084201125770465,376,874.1749320000001,549.9315106666666,24.217240666666665,-0.32029829551666666
3,1653084201153744465,1653084201398571465,244,863.435866,617.2992605000001,23.479053649999997,-5.274020765000001
4,1653084201597744465,1653084202113776465,516,852.6604954999999,599.07648725,22.62687915,-3.93610513
5,1653084202481736465,1653084202953737465,472,695.0548008108108,718.1271324324325,10.881667705405405,-12.948862324324324
6,1653084203633758465,1653084204029798465,396,763.198436875,455.308789375,15.913186,6.7271669562500005
7,1653084204073809465,1653084204421750465,347,781.5382610714286,577.8284614285715,17.231854857142856,-2.4022651964285715
8,1653084204457763465,1653084204925775465,468,804.0279135897437,518.1165033333334,18.929215358974353,2.03276786025641
9,1653084205161796465,1653084205453893465,292,818.9924004347828,536.4210069565218,20.048824478260872,0.6751163495652174
10,1653084205661736465,1653084205789803465,128,847.686051,566.504221,22.219127599999997,-1.5419697539999997
11,1653084206349778465,1653084206577924465,228,740.1892866666667,223.31378777777775,15.031495499999998,24.105240611111114
12,1653084206777753465,1653084206897766465,120,845.1150133333333,458.40239999999994,22.120388555555554,6.421896011111111
13,1653084206937739465,1653084207053767465,116,827.4586577777777,531.0388222222222,20.693524333333333,1.0707967437777777
14,1653084207521751465,1653084208505789465,984,663.9378399999999,720.3544625316457,8.504250336708859,-13.146899607594936
15,1653084208821773465,1653084209425815465,604,473.5894491666666,475.7114847916667,-6.0219489875,5.258705947916666
16,1653084209637804465,1653084210525849465,888,705.8214563492063,758.9882807936507,11.826199325396825,-15.996152174603175
17,1653084210537791465,1653084211093749465,555,678.1724987179488,708.661203076923,9.572921282051285,-12.256047512820516
18,1653084211121779465,1653084212841762465,1719,690.351463697479,714.6738287394958,10.516349942016806,-12.69547297058823
19,1653084212865742465,1653084213369761465,504,701.4106262857143,653.6272665714285,11.255109871428573,-8.106916217142857
20,1653084213421786465,1653084214265776465,843,702.6873162711867,661.3101491525423,11.364818101694915,-8.68414983559322
21,1653084214377759465,1653084214869800465,492,714.5395334285715,696.7312005714285,12.329254342857144,-11.324170685714286
22,1653084214893738465,1653084215941780465,1048,815.5247020833334,650.6981430555556,19.91833147222222,-7.7759147041666665
23,1653084216257746465,1653084216341747465,84,689.521745,235.44149166666668,10.904407916666665,23.306497333333336
24,1653084216625953465,1653084216873756465,247,678.7499758823529,573.5825623529412,9.476065705882354,-2.1102676029411764
25,1653084217113756465,1653084218546112465,1432,737.4809951,695.6773341,14.090121394999999,-11.216308022
26,1653084218577777465,1653084219073881465,496,765.2704466666669,610.2443483333332,16.031704805555552,-4.821592138888889
27,1653084219121735465,1653084220885789465,1764,741.0629706451614,644.2857112903225,14.247865334677421,-7.377602183064516
28,1653084220917756465,1653084221697771465,780,810.3297081481481,630.047972222222,19.47658264814815,-6.258172690740741
29,1653084221713739465,1653084223041753465,1328,741.9902535106385,668.709170638298,14.364881271276598,-9.200112773404257
30,1653084223093763465,1653084223601934465,508,788.6915277142857,581.3837331428572,17.79585005714286,-2.669303384285714
31,1653084223629784465,1653084224325780465,695,726.5879877551021,667.436612244898,13.194489183673468,-9.114139979591837
32,1653084224365764465,1653084225137744465,771,760.0388116666668,792.71431,16.164965055555555,-18.41773185185185
33,1653084225161783465,1653084225649742465,487,728.4867417647059,750.4845514705883,13.547297485294118,-15.327374485294119
34,1653084226109855465,1653084227169770465,1059,742.747711891892,444.96672864864865,14.382514979729729,7.518041590540541
35,1653084227217764465,1653084227361752465,143,800.984429,412.0547890000001,18.8858294,9.901440899999999
36,1653084227441752465,1653084227681763465,240,947.915435882353,520.9412605882353,29.819609117647058,1.78309471
37,1653084227725820465,1653084228513768465,787,951.51194,595.4491201785713,30.122060642857146,-3.596835732142857
38,1653084228593915465,1653084228722445465,128,1060.0363444444445,714.6901222222222,39.03101244444444,-11.864860666666665
39,1653084228801747465,1653084228969798465,168,795.5147616666667,730.5045183333333,18.6396455,-13.717788166666667
40,1653084229021760465,1653084229489729465,467,789.3171536363636,680.7363912121212,17.99415639393939,-10.038654666666666
41,1653084229517735465,1653084229885832465,368,779.825398076923,719.0603946153847,17.39467573076923,-12.896823711538461
42,1653084229937779465,1653084230169791465,232,867.2754294117648,569.5312235294117,23.701601823529412,-1.758301508235294
43,1653084230225756465,1653084230793766465,568,864.0353552499998,411.95169175,23.702165125,9.8095840125
44,1653084230853734465,1653084231329745465,476,763.445375882353,593.2659270588234,15.877995573529414,-3.560309055882353
45,1653084231465773465,1653084231621745465,155,566.2202327272727,645.7376627272729,0.9899861642727271,-7.5671363909090905
46,1653084231649751465,1653084231893781465,244,600.7660805882354,632.3092276470588,3.605220311764706,-6.54921925882353
47,1653084231921739465,1653084232629759465,708,671.8180361224489,673.3412228571427,9.035710665306123,-9.593749853061224
48,1653084232929761465,1653084233029761465,100,676.6562228571429,799.7780899999999,9.671559714285715,-19.099512857142855
49,1653084233081730465,1653084233337774465,256,430.6201288888889,624.0195777777778,-9.275029733333334,-5.900293894444443
50,1653084233649750465,1653084234285733465,635,825.2690322222222,482.20007177777774,20.571867266666665,4.68077654
51,1653084234426115465,1653084234769759465,343,881.550506956522,289.44633521739127,25.771555347826087,18.75818182608696
52,1653084235017730465,1653084235101754465,84,798.0482833333334,385.76808166666666,18.7469095,11.857434249999999
53,1653084235129770465,1653084235265769465,135,831.9318299999999,424.55808399999995,21.207874800000003,8.9321718
