section id,recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms],start timestamp [s],end timestamp [s]
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,1,1.68151E+18,1.68151E+18,304,11.21534003,11.51929984
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,2,1.68151E+18,1.68151E+18,212,11.51929984,11.73134003
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,3,1.68151E+18,1.68151E+18,220,20.57152,20.79129984
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,4,1.68151E+18,1.68151E+18,452,20.79129984,21.24335002
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,5,1.68151E+18,1.68151E+18,424,21.27530982,21.69932006
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,6,1.68151E+18,1.68151E+18,276,21.89536,22.17132006
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,7,1.68151E+18,1.68151E+18,456,23.17134003,23.62729984
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,8,1.68151E+18,1.68151E+18,244,24.30335002,24.54732006
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,9,1.68151E+18,1.68151E+18,160,25.08735002,25.24734003
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,10,1.68151E+18,1.68151E+18,416,25.24734003,25.66335002
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,11,1.68151E+18,1.68151E+18,348,26.26329984,26.61136
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,12,1.68151E+18,1.68151E+18,268,27.50734003,27.77531981
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,13,1.68151E+18,1.68151E+18,344,29.41546982,29.75931981
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,14,1.68151E+18,1.68151E+18,428,33.52333005,33.95134003
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,15,1.68151E+18,1.68151E+18,200,34.43131981,34.63130982
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,16,1.68151E+18,1.68151E+18,444,34.90333005,35.34733005
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,17,1.68151E+18,1.68151E+18,388,35.75938995,36.14736
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,18,1.68151E+18,1.68151E+18,324,38.02732006,38.35134003
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,19,1.68151E+18,1.68151E+18,188,38.45533005,38.64332006
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,20,1.68151E+18,1.68151E+18,452,39.86729984,40.31930982
68bf1999-fbd3-40d2-adac-29a1f8ad35e4,b413c983-32a7-4c81-b47f-0d6ad725e058,21,1.68151E+18,1.68151E+18,276,41.77543987,42.05143987
