Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,End Time - hh:mm:ss.ms,End Time - ss.msec,Duration - hh:mm:ss.ms,Duration - ss.msec,eye_blinks,not_visible,timestamps,,,,,,
08:36.1,516.1,08:36.2,516.2,00:00.1,0.1, [a50],,,,,,,,
08:39.3,519.29,08:39.3,519.3,00:00.0,0.01, [a51],,,,,,,,
08:44.1,524.08,08:44.3,524.34,00:00.3,0.26, [a52],,,,,,,,
08:46.9,526.89,08:47.0,526.98,00:00.1,0.09, [a53],,,,,,,,
08:47.4,527.38,08:47.5,527.47,00:00.1,0.09, [a54],,,,,,,,
08:50.3,530.29,08:50.4,530.39,00:00.1,0.1, [a55],,,,,,,,
08:54.9,534.95,08:55.1,535.09,00:00.1,0.14, [a56],,,,,,,,
08:57.3,537.31,08:57.4,537.41,00:00.1,0.1, [a57],,,,,,,,
08:58.5,538.48,08:58.6,538.55,00:00.1,0.07, [a58],,,,,,,,
08:59.6,539.59,08:59.7,539.73,00:00.1,0.14, [a59],,,,,,,,
09:02.7,542.72,09:02.8,542.83,00:00.1,0.11, [a60],,,,,,,,
09:07.9,547.91,09:08.0,548.04,00:00.1,0.13, [a61],,,,,,,,
09:10.0,550,09:10.1,550.08,00:00.1,0.08, [a62],,,,,,,,
09:13.9,553.86,09:13.9,553.94,00:00.1,0.08, [a63],,,,,,,,
09:18.4,558.4,09:18.5,558.51,00:00.1,0.11, [a64],,,,,,,,
09:21.6,561.6,09:21.7,561.72,00:00.1,0.12, [a65],,,,,,,,
09:39.0,578.97,09:39.1,579.07,00:00.1,0.1, [a66],,,,,,,,
09:39.5,579.52,09:39.6,579.59,00:00.1,0.07, [a67],,,,,,,,
09:42.9,582.89,09:43.0,583.03,00:00.1,0.14, [a68],,,,,,,,
09:45.4,585.36,09:45.7,585.71,00:00.4,0.35, [a69],,,,,,,,
09:46.3,586.32,09:46.5,586.5,00:00.2,0.18, [a70],,,,,,,,
09:50.6,590.57,09:50.7,590.72,00:00.2,0.15, [a71],,,,,,,,
09:53.6,593.63,09:54.7,594.69,00:01.1,1.06,,not visible [a74],,,,,,,
09:54.7,594.69,09:54.8,594.79,00:00.1,0.1,,not visible [a74],parent speech end [a5],,,,,,
09:54.8,594.79,09:56.2,596.24,00:01.5,1.45,,not visible [a74],,,,,,,
11:14.8,674.79,11:14.9,674.87,00:00.1,0.08,,,child prep start [a6],,,,,,
11:16.2,676.2,11:16.3,676.28,00:00.1,0.08, [a75],,,,,,,,
11:18.8,678.76,11:18.8,678.84,00:00.1,0.08, [a76],,,,,,,,
11:19.8,679.8,11:19.9,679.88,00:00.1,0.08, [a77],,,,,,,,
11:20.7,680.73,11:21.3,681.34,00:00.6,0.61, [a78],,,,,,,,
11:22.4,682.43,11:22.6,682.56,00:00.1,0.13, [a79],,,,,,,,
11:26.0,685.96,11:26.0,686.04,00:00.1,0.08, [a80],,,,,,,,
11:28.9,688.9,11:29.9,689.93,00:01.0,1.03,,not visible [a148],,,,,,,
11:33.0,692.96,11:33.0,693.04,00:00.1,0.08, [a81],,,,,,,,
11:35.5,695.46,11:35.6,695.57,00:00.1,0.11, [a82],,,,,,,,
11:36.3,696.25,11:36.3,696.34,00:00.1,0.09, [a83],,,,,,,,
11:38.1,698.11,11:38.2,698.2,00:00.1,0.09, [a84],,,,,,,,
11:43.1,703.15,11:43.2,703.22,00:00.1,0.07, [a85],,,,,,,,
11:46.5,706.47,11:46.6,706.57,00:00.1,0.1, [a86],,,,,,,,
11:48.5,708.53,11:48.7,708.73,00:00.2,0.2, [a87],,,,,,,,
11:49.0,709.01,11:49.7,709.68,00:00.7,0.67, [a88],,,,,,,,
11:53.0,712.99,11:53.1,713.12,00:00.1,0.13, [a89],,,,,,,,
11:53.7,713.71,11:53.8,713.83,00:00.1,0.12, [a90],,,,,,,,
11:56.8,716.82,11:57.0,717,00:00.2,0.18, [a91],,,,,,,,
11:58.5,718.49,11:59.4,719.42,00:00.9,0.93, [a92],,,,,,,,
12:01.6,721.63,12:01.7,721.74,00:00.1,0.11, [a93],,,,,,,,
12:08.7,728.74,12:09.2,729.17,00:00.4,0.43, [a94],,,,,,,,
12:10.4,730.36,12:10.5,730.51,00:00.2,0.15, [a95],,,,,,,,
12:10.6,730.6,12:13.1,733.1,00:02.5,2.5,,not visible [a149],,,,,,,
12:13.3,733.32,12:13.4,733.4,00:00.1,0.08, [a96],,,,,,,,
12:18.6,738.61,12:18.7,738.69,00:00.1,0.08, [a97],,,,,,,,
12:22.3,742.33,12:22.4,742.38,00:00.1,0.05, [a98],,,,,,,,
12:28.5,748.45,12:28.6,748.56,00:00.1,0.11, [a99],,,,,,,,
12:30.1,750.12,12:30.3,750.26,00:00.1,0.14, [a100],,,,,,,,
12:30.7,750.69,12:31.1,751.1,00:00.4,0.41, [a101],,,,,,,,
12:31.5,751.51,12:32.0,752.02,00:00.5,0.51, [a102],,,,,,,,
12:32.5,752.47,12:32.6,752.58,00:00.1,0.11, [a103],,,,,,,,
12:37.5,757.46,12:37.6,757.58,00:00.1,0.12, [a104],,,,,,,,
12:42.7,762.66,12:42.8,762.75,00:00.1,0.09, [a105],,,,,,,,
13:00.0,780,13:00.1,780.06,00:00.1,0.06, [a106],,,,,,,,
13:09.2,789.23,13:10.9,790.94,00:01.7,1.71, [a107],,,,no,,,,
13:14.5,794.49,13:14.9,794.86,00:00.4,0.37, [a108],,,,,,,,
13:16.3,796.25,13:17.2,797.16,00:00.9,0.91, [a109],,,,,,,,
13:17.7,797.72,13:17.8,797.81,00:00.1,0.09,,,child prep end [a7],,,,,,
13:19.8,799.77,13:19.8,799.83,00:00.1,0.06,,,child speech start [a8],,,,,,
13:27.2,807.19,13:27.4,807.41,00:00.2,0.22, [a110],,,,,,,,
13:29.2,809.15,13:29.3,809.28,00:00.1,0.13, [a111],,,,,,,,
13:36.5,816.5,13:36.7,816.68,00:00.2,0.18, [a112],,,,,,,,
13:41.5,821.48,13:41.9,821.93,00:00.5,0.45, [a113],,,,,,,,
13:46.4,826.35,13:46.6,826.59,00:00.2,0.24, [a114],,,,,,,,
13:48.9,828.92,13:49.0,828.97,00:00.1,0.05, [a115],,,,,,,,
13:50.9,830.85,13:50.9,830.95,00:00.1,0.1, [a116],,,,,,,,
13:53.4,833.37,13:53.8,833.84,00:00.5,0.47, [a117],,,,,,,,
13:57.1,837.11,13:57.2,837.16,00:00.1,0.05, [a118],,,,,,,,
