blink_id,start_timestamp_s,end_timestamp_s,duration_ms.x,blink_type.x
165,343.586278144,343.806275328,219,pprep
166,345.030258176,345.382306304,352,pprep
167,345.718274304,346.25426816,535,pprep
168,346.55426816,346.994273024,440,pprep
169,353.638390272,353.826260224,187,pprep
170,356.802357248,356.938593024,136,pprep
171,359.574388224,359.822298112,247,pprep
172,362.178264064,362.45028096,272,pprep
173,372.478275328,372.762301184,284,pprep
174,372.762301184,373.210242304,447,pprep
175,374.906269184,375.234627328,328,pprep
176,376.274246144,376.734261248,460,pprep
177,377.41428608,377.69422208,279,pprep
178,387.082237184,387.346272,264,pprep
179,392.066255104,392.594275328,528,pprep
180,397.94228608,398.234289152,292,pprep
181,398.398239232,398.526230016,127,pprep
182,398.78253696,399.186253312,403,pprep
183,403.682285056,404.134239232,451,pprep
184,407.88235904,408.222230016,339,pprep
185,410.20228608,410.562243328,359,pprep
186,411.086379264,411.35023616,263,pprep
187,418.04224896,418.306354176,264,pprep
188,422.978653184,423.398232064,419,pprep
189,431.950246144,432.206269184,256,pprep
190,433.022317056,433.518365184,496,pprep
191,438.690256128,438.878516224,188,pprep
192,446.44228608,446.81423616,371,pprep
193,448.874264064,449.294244352,419,pprep
194,449.394270208,449.822270208,428,pprep
195,450.554273024,450.758275328,204,pprep
196,451.68228096,451.970260224,287,pprep
197,453.69825408,453.942343168,244,pprep
198,455.04225408,455.30228608,260,pprep
199,455.30228608,455.530377984,228,pprep
200,457.778448128,458.058267136,279,pprep
201,461.414390272,461.77434112,359,pprep
202,462.314470144,462.590303232,275,pprep
203,463.678235136,464.062285312,384,pprep
205,468.626258432,468.838267392,212,pspeech
206,471.598307328,471.8822592,283,pspeech
207,477.550356224,477.838241024,287,pspeech
208,480.362262016,480.6702272,307,pspeech
209,482.626366976,482.942303232,315,pspeech
210,486.646280192,487.094255104,447,pspeech
211,490.350237184,490.490272,140,pspeech
212,492.818288128,493.074242304,255,pspeech
213,504.850273024,505.122255104,271,pspeech
214,509.18226816,509.442262016,259,pspeech
215,514.346297088,514.762262016,415,pspeech
