Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,End Time - hh:mm:ss.ms,End Time - ss.msec,Duration - hh:mm:ss.ms,Duration - ss.msec,eye_blinks,not_visible,timestamps,,,,,,,
07:26.2,446.23,07:26.5,446.46,00:00.2,0.23, [a56],,,,,,,,,
07:27.1,447.14,07:27.3,447.33,00:00.2,0.19, [a57],,,,,,,,,
07:27.7,447.67,07:27.9,447.89,00:00.2,0.22, [a58],,,,,,,,,
07:28.1,448.1,07:28.4,448.35,00:00.3,0.25, [a59],,,,,,,,,
07:28.7,448.73,07:28.9,448.88,00:00.2,0.15, [a60],,,,,,,,,
07:30.1,450.11,07:30.3,450.32,00:00.2,0.21, [a61],,,,,,,,,
07:30.6,450.58,07:30.7,450.72,00:00.1,0.14, [a62],,,,,,,,,
07:31.3,451.31,07:31.6,451.58,00:00.3,0.27, [a63],,,,,,,,,
07:35.2,455.16,07:35.4,455.39,00:00.2,0.23, [a64],,,,,,,,,
07:35.9,455.88,07:36.1,456.09,00:00.2,0.21, [a65],,,,,,,,,
07:36.8,456.83,07:37.0,457.02,00:00.2,0.19, [a66],,,,,,,,,
07:37.9,457.88,07:38.0,457.97,00:00.1,0.09, [a67],,,,,,,,,
07:38.2,458.18,07:38.5,458.49,00:00.3,0.31, [a68],,,,,,,,,
07:39.0,458.95,07:39.1,459.09,00:00.1,0.14, [a69],,,,,,,,,
07:39.7,459.7,07:40.0,460.03,00:00.3,0.33, [a70],,,,,,,,,
07:40.4,460.43,07:41.0,461.03,00:00.6,0.6, [a71],,,,,,,,,
07:42.0,461.98,07:42.3,462.25,00:00.3,0.27, [a72],,,,,,,,,
07:43.8,463.82,07:44.0,464,00:00.2,0.18, [a73],,,,,,,,,
07:44.2,464.2,07:44.4,464.44,00:00.2,0.24, [a74],,,,,,,,,
07:45.0,464.98,07:45.1,465.08,00:00.1,0.1, [a75],,,,,,,,,
07:46.1,466.14,07:46.2,466.25,00:00.1,0.11, [a76],,,,,,,,,
07:47.9,467.86,07:48.1,468.05,00:00.2,0.19, [a77],,,,,,,,,
07:49.0,469.03,07:49.2,469.15,00:00.1,0.12, [a78],,,,,,,,,
07:49.8,469.8,07:49.9,469.85,00:00.1,0.05, [a79],,,,,,,,,
07:50.0,470,07:50.1,470.12,00:00.1,0.12,,,parent prep end [a2],,,,,,,
07:51.4,471.41,07:51.5,471.5,00:00.1,0.09,,,parent speech start [a3],,,,,,,
07:51.8,471.75,07:51.9,471.85,00:00.1,0.1, [a80],,,,,,,,,
07:56.9,476.89,07:57.0,477.04,00:00.2,0.15, [a81],,,,,,,,,
08:00.6,480.58,08:00.8,480.81,00:00.2,0.23, [a82],,,,,,,,,
08:02.1,482.12,08:02.3,482.26,00:00.1,0.14, [a83],,,,,,,,,
08:04.9,484.94,08:05.0,485.04,00:00.1,0.1, [a84],,,,,,,,,
08:11.6,491.55,08:11.7,491.75,00:00.2,0.2, [a85],,,,,,,,,
08:12.4,492.36,08:12.5,492.46,00:00.1,0.1, [a86],,,,,,,,,
